MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NB,105UCL2026,SEC RE NCD 10.5% SR IV,      1004.00,      1004.00,      1005.00,      1004.00,      1005.00,                    25115.00,25, ,2,      1010.00,       980.00
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,       999.90,       999.99,       999.99,       999.50,       999.50,                    97983.13,98, ,6,      1011.00,       970.00
N,NC,843IHFL29,SEC RE NCD 8.43% SR.VI,       923.76,       927.95,       927.95,       918.90,       920.23,                   323274.80,351, ,6,       970.90,       900.00
N,NC,985IIFL22,UNSEC RED NCD 10.00% SR.V,       990.00,       990.00,       990.00,       990.00,       990.00,                     9900.00,10, ,1,      1030.00,       937.00
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1245.00,      1245.00,      1245.00,      1244.99,      1244.99,                    89639.50,72, ,2,      1280.00,      1170.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1005.00,      1004.02,      1004.02,      1004.02,      1004.02,                   301206.00,300, ,1,      1045.00,       835.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1165.27,      1169.00,      1173.00,      1169.00,      1173.00,                   770706.92,659, ,6,      1235.00,      1130.01
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,       935.00,       932.00,       942.00,       932.00,       941.95,                   203563.90,217, ,5,      1091.10,       900.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1165.21,      1170.00,      1170.00,      1166.70,      1166.70,                   430414.80,368, ,13,      1205.90,      1128.00
N,NE,915IBHFL26,UNS RED NCD 9.15% SR.IX,       979.00,       970.00,       970.00,       970.00,       970.00,                     2910.00,3, ,1,      1015.00,       881.10
N,NE,925ICCL24A,SEC RE NCD 9.80% SR.I,       999.40,       999.40,       999.40,       999.40,       999.40,                     9994.00,10, ,3,      1035.00,       956.00
N,NE,CAGL28,SEC RE NCD SR VIII,      1069.00,      1069.00,      1069.00,      1069.00,      1069.00,                    21380.00,20, ,1,      1069.00,       820.62
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1310.00,      1287.00,      1308.00,      1285.00,      1308.00,                   174300.90,135, ,8,      1399.00,      1261.00
N,NF,905LTFH27,SERENCD 9.05% SR.VI OPII,      1026.00,      1025.20,      1026.00,      1021.00,      1025.95,                   355873.00,348, ,21,      1119.80,      1021.00
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       934.88,       940.00,       940.00,       930.01,       933.15,                  1794409.97,1919, ,37,      1051.00,       906.50
N,NG,1061DLSL24,DHANI LOANS & SERV LTD,      1072.00,      1056.00,      1084.00,      1056.00,      1084.00,                   241936.00,229, ,2,      1084.00,       950.00
N,NH,769IGT28,SEC RE NCD 7.69% SR.IV,       991.00,       886.80,       890.00,       886.80,       890.00,                     5330.40,6, ,2,       999.05,       870.35
N,NH,87LTFH27,SERENCD 8.70% SR.VII OPII,      1030.00,      1000.00,      1000.00,      1000.00,      1000.00,                    60000.00,60, ,3,      1050.00,      1000.00
N,NH,99IFCI24,9.90 % SRNCD SR VI,      1030.95,      1032.00,      1032.00,      1032.00,      1032.00,                   207432.00,201, ,3,      1099.00,       927.00
N,NH,RECLTD,7.43% TAX FREE TRI SR3B,      1239.00,      1247.84,      1247.84,      1241.99,      1241.99,                    74607.15,60, ,2,      1254.90,      1170.10
N,NI,732IRFC25,TAX FREE  7.32% SR. 102 A,      1067.05,      1060.25,      1060.25,      1060.25,      1060.25,                    11662.75,11, ,2,      1109.99,      1010.00
N,NI,966ICCL25A,SEC RE NCD 10.05% SR.IV,       970.00,       972.16,       972.16,       972.16,       972.16,                     9721.60,10, ,1,      1099.80,       876.00
N,NI,IFCIZC24,SRNCD SR VII,      2400.00,      2400.00,      2400.00,      2400.00,      2400.00,                   129600.00,54, ,3,      2427.00,      1934.00
N,NJ,1030ICC26,SEC RE NCD SR.V,      1075.00,      1075.00,      1075.00,      1075.00,      1075.00,                     6450.00,6, ,1,      1075.00,       820.20
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1153.00,      1153.00,      1153.00,      1146.51,      1148.09,                    13782.06,12, ,3,      1197.79,      1100.00
