Sr. No,Symbol,Series,Security Name,From,To
1,CCCL,BE,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,10,5
2,LAL,BE,LORENZINI APPARELS LIMITED,10,5
3,SPORTKING,EQ,SPORTKING INDIA LIMITED,10,5
4,BASML,BE,BANNARI AMMAN SPINNING MILLS LIMITED,20,5
5,HARDWYN,EQ,HARDWYN INDIA LIMITED,20,10
6,JIWANRAM,SM,JIWANRAM SHEODUTTRAI INDUSTRIES LIMITED,20,10
7,SILGO,EQ,SILGO RETAIL LIMITED,20,10
8,AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,5,2
9,RATNAVEER,BE,RATNAVEER PRECISION ENGINEERING LIMITED,5,2
10,RAYMONDLSL,EQ,RAYMOND LIFESTYLE LIMITED,5,20
11,UMANGDAIRY,BE,UMANG DAIRIES LIMITED,5,2
