1,AARTIPHARM,INE0LRU01027,657.95,20
2,DEEPAKNTR,INE288B01029,2886.2,20
3,TVSSCS,INE395N01027,203.16,20
4,NFL,INE870D01012,134.12,22.84
5,MARUTI,INE585B01010,12204.1,9
6,RAJESHEXPO,INE343B01030,290.25,20
7,BLUESTARCO,INE472A01039,1879.45,20
8,SGBJAN29IX,IN0020200377,7679.95,10
9,ITI,INE248A01017,284.45,22.21
10,BECTORFOOD,INE495P01012,1947.2,20
11,SGBMAR25,IN0020160126,7493.5,10
12,INDIAGLYCO,INE560A01015,1220.9,20
13,PGEL,INE457L01029,639.4,21.45
14,SGBSEP27,IN0020190115,7607.5,10
15,SGBNOV25VI,IN0020170083,7550,10
16,RECLTD,INE020B01018,546.05,20.6
17,SGBAUG27,IN0020190107,7800,10
18,SGBMAY26,IN0020180033,7799,10
19,FLUOROCHEM,INE09N301011,4329.7,20
20,PAGEIND,INE761H01022,43052,20
21,EICHERMOT,INE066A01021,4850.35,9.68
22,GUJALKALI,INE186A01019,831.4,20
23,NMDC,INE584A01023,212.12,20
24,KIRLOSENG,INE146L01010,1277.3,20
25,DHANI,INE274G01010,50.15,23.58
26,MOIL,INE490G01020,385.2,20.66
27,ANANTRAJ,INE242C01024,663.8,20
28,TIINDIA,INE974X01010,4023,20
29,CHAMBLFERT,INE085A01013,521.25,20
30,SGBNOV25,IN0020170091,7599,10
31,RCF,INE027A01015,191.56,21.78
32,SANDHAR,INE278H01035,595.6,20
33,NCC,INE868B01028,312.3,20.13
34,STOVEKRAFT,INE00IN01015,919.8,20
35,VENUSPIPES,INE0JA001018,2217.8,20
36,TITAN,INE280A01028,3725.35,9.07
37,BASF,INE373A01013,6872.4,20
38,NIFTYIETF,INF109K012R6,281.75,6
39,HDFCBANK,INE040A01034,1694.8,9
40,HINDALCO,INE038A01020,685.25,12.77
41,LIQUIDBEES,INF732E01037,1000,5
42,POWERINDIA,INE07Y701011,12927.2,20
43,TATACONSUM,INE192A01025,1200.85,9
44,SUBEXLTD,INE754A01055,27.99,20.75
45,SGBMAR30X,IN0020210319,7782,10
46,TANLA,INE483C01032,937.45,20
47,TORNTPHARM,INE685A01028,3359.6,20
48,YESBANK,INE528G01035,23.32,20
49,COLPAL,INE259A01022,3634.8,20
50,NRBBEARING,INE349A01021,314.45,20
51,ROSSARI,INE02A801020,908.8,20
52,SGBJUN30,IN0020220045,7788.16,10
53,SHRIRAMPPS,INE217L01019,126.95,20.36
54,SGBOCT25IV,IN0020170067,7499,10
55,DMART,INE192R01011,5265.2,20
56,SULA,INE142Q01026,485.1,20
57,ABSLLIQUID,INF209KB18T9,1000,5
58,INDUSTOWER,INE121J01017,428.25,20
59,RICOAUTO,INE209B01025,115.77,21.99
60,UCOBANK,INE691A01018,48.64,20
61,DOMS,INE321T01012,2797.05,20
62,JUNIORBEES,INF732E01045,800.15,6.04
63,KFINTECH,INE138Y01010,1046.9,20
64,FORTIS,INE061F01013,592.95,20
65,BERGEPAINT,INE463A01038,620.2,20
66,OIL,INE274J01014,595,20
67,ITC,INE154A01025,507.35,9
68,EMAMILTD,INE548C01032,744.6,20
69,EBBETF0431,INF754K01LE1,1258.86,20
70,IMFA,INE919H01018,666.4,20
71,3MINDIA,INE470A01017,35371.25,20
72,CONFIPET,INE552D01024,95.23,20
73,GUJGASLTD,INE844O01030,616.5,20
74,WHIRLPOOL,INE716A01013,2042.55,20
75,SOTL,INE035D01020,574.6,20
76,LTF,INE498L01015,177.01,20
77,ADVENZYMES,INE837H01020,532.55,20
78,VTL,INE825A01020,490.1,20
79,ICICIB22,INF109KB15Y7,116.03,20
80,JYOTHYLAB,INE668F01031,540.75,20
81,INDIANB,INE562A01011,505.05,20
82,MANKIND,INE634S01028,2395.6,20
83,GMDCLTD,INE131A01031,371.35,21.37
84,ASTRAL,INE006I01046,1896.4,20
85,SONACOMS,INE073K01018,717.55,20
86,HAVELLS,INE176B01034,1987.8,20
87,INTELLECT,INE306R01017,985.25,20
88,SAFARI,INE429E01023,2538.65,20
89,PFIZER,INE182A01018,5830.15,20
90,MCX,INE745G01035,5807.1,20
91,DRREDDY,INE089A01023,6567.8,9
92,ARVIND,INE034A01011,398.6,20
93,DCBBANK,INE503A01015,121.01,20
94,RRKABEL,INE777K01022,1667.05,20
95,JSWINFRA,INE880J01026,338.75,20
96,BIOCON,INE376G01013,363.65,20
97,BIRLACORPN,INE340A01012,1316.25,20
98,PIIND,INE603J01030,4654.9,20
99,INDUSINDBK,INE095A01012,1480.25,10.87
100,TATAPOWER,INE245A01021,440.6,20
101,BRITANNIA,INE216A01030,6123.25,9
102,MSTCLTD,INE255X01014,712.85,22.5
103,IOLCP,INE485C01011,502.2,20
104,SGBNOV258,IN0020170109,7550,10
105,SGBOCT27VI,IN0020190388,7566,10
106,BPCL,INE029A01011,336.1,12.98
107,SGBDE30III,IN0020220110,7963.6,10
108,ABB,INE117A01022,7785.25,20
109,APTUS,INE852O01025,338.7,20
110,GOLDBEES,INF204KB17I5,61.68,20
111,SGBSEP24,IN0020160043,7340,10
112,CEATLTD,INE482A01020,2941.4,20
113,NSLNISP,INE0NNS01018,51.89,20
114,SGBOCT25V,IN0020170075,7549,10
115,MRF,INE883A01011,134242.7,20
116,SGBJUN28,IN0020200104,7653.7,10
117,SYNGENE,INE398R01022,892.8,20
118,INOXINDIA,INE616N01034,1138.5,20
119,ACC,INE012A01025,2477.4,20
120,GRINDWELL,INE536A01023,2367.9,20
121,SHREECEM,INE070A01015,25076.65,20
122,PHARMABEES,INF204KC1089,23.54,20
123,CLEAN,INE227W01023,1561.25,20
124,HCLTECH,INE860A01027,1756.5,9
125,JUBLPHARMA,INE700A01033,1198.7,20
126,TIMKEN,INE325A01013,3759.05,20
127,SGBMAR28X,IN0020190552,7625,10
128,SGBSEP31II,IN0020230093,7975.31,10
129,SBFC,INE423Y01016,86.99,20
130,ARE&M,INE885A01032,1391.75,20
131,NIITLTD,INE161A01038,181.7,23.01
132,ADANIENSOL,INE931S01010,979.9,22.45
133,KAYNES,INE918Z01012,5476.9,20.12
134,STARCEMENT,INE460H01021,217.93,20
135,SGBJUL25,IN0020170034,7500,10
136,ANDHRAPAP,INE435A01051,107.25,20
137,TI,INE133E01013,302.95,20
138,EXIDEIND,INE302A01020,471.75,20
139,THERMAX,INE152A01029,5220.55,20
140,GOKEX,INE887G01027,940.25,20
141,GILLETTE,INE322A01010,9006.1,20
142,DHAMPURSUG,INE041A01016,213.95,20
143,MOTILALOFS,INE338I01027,774.95,20
144,ZAGGLE,INE07K301024,447.95,20.33
145,SGBOCT27,IN0020190370,7501.01,10
146,JSWSTEEL,INE019A01038,956.7,10.76
147,TDPOWERSYS,INE419M01027,407.75,20
148,BAJAJHLDNG,INE118A01012,10793,20
149,TTML,INE517B01013,88.48,20.93
150,IDEAFORGE,INE349Y01013,701.75,20
151,M&MFIN,INE774D01024,327.5,20
152,MOM30IETF,INF109KC17C7,37.11,20
153,KNRCON,INE634I01029,328.75,20
154,RAIN,INE855B01025,181.85,20
155,IRFC,INE053F01010,158.56,21.38
156,WIPRO,INE075A01022,538.15,10.87
157,JTLIND,INE391J01024,225.3,20
158,TATATECH,INE142M01025,1065.8,20
159,ATUL,INE100A01010,7683.7,20
160,GMRINFRA,INE776C01039,94.05,20
161,NEWGEN,INE619B01017,1209.85,20
162,NIACL,INE470Y01017,233.7,23.49
163,DIVISLAB,INE361B01024,5469.15,10.21
164,ASTERDM,INE914M01019,420.95,20
165,SENCO,INE602W01019,1260.85,20
166,SHARDACROP,INE221J01015,560.6,20
167,CENTURYTEX,INE055A01016,2715.5,20
168,SGBAPR28I,IN0020200062,7730,10
169,ABSLAMC,INE404A01024,756.8,20
170,AARTIDRUGS,INE767A01016,525.3,20
171,BANKBEES,INF204KB15I9,540.74,20
172,IDFC,INE043D01016,110.12,20
173,SGBAUG29V,IN0020210129,7711.36,10
174,TRENT,INE849A01020,7336,20
175,EBBETF0430,INF754K01KO2,1414.55,20
176,MFSL,INE180A01020,1140.55,20
177,BANSALWIRE,INE0B9K01025,425.15,20
178,FINCABLES,INE235A01022,1403.9,20
179,PVRINOX,INE191H01014,1676.6,20
180,TATACHEM,INE092A01019,1017.6,20
181,KAJARIACER,INE217B01036,1475.9,20
182,SILVERBEES,INF204KC1402,84.96,20
183,APLLTD,INE901L01018,1189.3,20
184,CAPLIPOINT,INE475E01026,1965.5,20
185,SGBNV29VII,IN0020210178,7745,10
186,POLYCAB,INE455K01017,6667.2,20
187,BSOFT,INE836A01035,630.8,20
188,AJANTPHARM,INE031B01049,3121.15,20
189,ACI,INE128X01021,704.4,20
190,HONAUT,INE671A01010,49642.85,20
191,SIEMENS,INE003A01024,6740.3,20
192,HAL,INE066F01020,4437.65,20
193,MAZDOCK,INE249Z01012,4178,26.15
194,HINDCOPPER,INE531E01026,320.25,21.1
195,TRIDENT,INE064C01022,36.16,20
196,SGBJUN29II,IN0020210061,7719,10
197,AUBANK,INE949L01017,724.25,20
198,TIDEWATER,INE484C01030,2316.55,20
199,MOREPENLAB,INE083A01026,86.77,21.78
200,IIFLSEC,INE489L01022,331,25.05
201,UPL,INE628A01036,605.1,20
202,SGBJUL27,IN0020190081,7515,10
203,MARKSANS,INE750C01026,281.22,20.22
204,SANSTAR,INE08NE01025,143.05,20
205,SAREGAMA,INE979A01025,515.55,20
206,AETHER,INE0BWX01014,974.2,20
207,POLICYBZR,INE417T01026,1805.6,20
208,CENTURYPLY,INE348B01021,882.85,20
209,HDFCLIFE,INE795G01014,698.8,9.8
210,BAJAJELEC,INE193E01025,979.6,20
211,NELCO,INE045B01015,1102.1,20
212,ECLERX,INE738I01010,2702.5,20
213,HIKAL,INE475B01022,380.5,20
214,NAUKRI,INE663F01024,7741.55,20
215,APARINDS,INE372A01015,9990.45,20
216,TRITURBINE,INE152M01016,742.65,20
217,SOUTHBANK,INE683A01023,24.9,20
218,ALPHA,INF174KA1IA5,57.93,20
219,HOMEFIRST,INE481N01025,1230.05,20
220,LTFOODS,INE818H01020,420.05,20
221,PEL,INE140A01024,1081.7,20
222,GMMPFAUDLR,INE541A01023,1449.9,20
223,AEROFLEX,INE024001021,189.59,20
224,SUMICHEM,INE258G01013,601.05,20
225,EMCURE,INE168P01015,1526.6,20
226,APLAPOLLO,INE702C01027,1437.4,20
227,GOODLUCK,INE127I01024,1246.2,20
228,KTKBANK,INE614B01018,232.25,20
229,ORIENTCEM,INE876N01018,289.3,20.16
230,POLYPLEX,INE633B01018,1202.8,20
231,KOPRAN,INE082A01010,337.75,20.88
232,FEDFINA,INE007N01010,119.45,20
233,BOMDYEING,INE032A01023,207.63,20.76
234,GIPCL,INE162A01010,222.96,20.37
235,SGBJUL28IV,IN0020200146,7683.33,10
236,TRIVENI,INE256C01024,479.75,20
237,PSPPROJECT,INE488V01015,681.45,20
238,SGBOCT25,IN0020170059,7422.16,10
239,MASTEK,INE759A01021,2681.4,20
