Sr. No,Symbol,Series,Security Name,From,To
1,AIIL,EQ,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,10,5
2,AKSHAR,EQ,AKSHAR SPINTEX LIMITED,10,5
3,ASAHISONG,BE,ASAHI SONGWON COLORS LIMITED,10,5
4,CENTEXT,BE,CENTURY EXTRUSIONS LIMITED,10,5
5,RANEENGINE,BE,RANE ENGINE VALVE LIMITED,10,5
6,SARTELE,SM,SAR TELEVENTURE LIMITED,10,5
7,SATECH,SM,S A TECH SOFTWARE INDIA LIMITED,10,5
8,SGL,BE,STL GLOBAL LIMITED,10,5
9,SHEETAL,SM,SHEETAL UNIVERSAL LIMITED,10,5
10,VERITAAS,SM,VERITAAS ADVERTISING LIMITED,10,5
11,BALUFORGE,EQ,BALU FORGE INDUSTRIES LIMITED,20,10
12,CLSL,SM,CROP LIFE SCIENCE LIMITED,20,10
13,EDELWEISS,EQ,EDELWEISS FINANCIAL SERVICES LIMITED,20,10
14,GUJAPOLLO,EQ,GUJARAT APOLLO INDUSTRIES LIMITED,20,10
15,JETFREIGHT,EQ,JET FREIGHT LOGISTICS LIMITED,20,10
16,MAHASTEEL,EQ,MAHAMAYA STEEL INDUSTRIES LIMITED,20,10
17,MASON,SM,MASON INFRATECH LIMITED,20,10
18,NDRAUTO,EQ,NDR AUTO COMPONENTS LIMITED,20,10
19,ORIENTALTL,EQ,ORIENTAL TRIMEX LIMITED,20,10
20,PANACEABIO,EQ,PANACEA BIOTEC LIMITED,20,10
21,RKDL,BE,RAVI KUMAR DISTILLERIES LIMITED,5,2
22,ROLLT,BE,ROLLATAINERS LIMITED,5,2
23,SHAH,BE,SHAH METACORP LIMITED,5,2
