Sr. No,Symbol,Series,Security Name,From,To
1,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,10,5
2,MARINE,EQ,MARINE ELECTRICALS (INDIA) LIMITED,10,5
3,OMINFRAL,EQ,OM INFRA LIMITED,10,5
4,ONDOOR,SM,ON DOOR CONCEPTS LIMITED,10,5
5,ORIANA,SM,ORIANA POWER LIMITED,10,5
6,ZENITHEXPO,BE,ZENITH EXPORTS LIMITED,10,5
7,EMKAY,BE,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,20,5
8,ICEMAKE,EQ,ICE MAKE REFRIGERATION LIMITED,20,10
9,SUPERSPIN,EQ,SUPER SPINNING MILLS LIMITED,20,10
10,GLOBAL,BE,GLOBAL EDUCATION LIMITED,5,2
11,GSMFOILS,SM,GSM FOILS LIMITED,5,20
12,KAVVERITEL,BE,KAVVERI TELECOM PRODUCTS LIMITED,5,2
13,PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,5,2
14,TRF,BE,TRF LIMITED,5,2
15,WEWIN,BE,WE WIN LIMITED,5,2
