Sr. No,Symbol,Series,Security Name,From,To
1,BRIGHT,SZ,BRIGHT SOLAR LIMITED,10,5
2,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,2,5
3,BANKA,BE,BANKA BIOLOO LIMITED,2,5
4,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,2,5
5,BRNL,BE,BHARAT ROAD NETWORK LIMITED,2,5
6,DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,5
7,GATECH,BE,GACM TECHNOLOGIES LIMITED,2,5
8,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,2,5
9,GOKUL,BE,GOKUL REFOILS AND SOLVENT LIMITED,2,5
10,GOYALALUM,BE,GOYAL ALUMINIUMS LIMITED,2,5
11,GTECJAINX,BE,G-TEC JAINX EDUCATION LIMITED,2,5
12,ICDSLTD,BE,ICDS LIMITED,2,5
13,LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,2,5
14,MADHAV,BE,MADHAV MARBLES AND GRANITES LIMITED,2,5
15,MALUPAPER,BE,MALU PAPER MILLS LIMITED,2,5
16,MANAKSTEEL,BE,MANAKSIA STEELS LIMITED,2,5
17,MKPL,BE,M K PROTEINS LIMITED,2,5
18,MOKSH,BE,MOKSH ORNAMENTS LIMITED,2,5
19,NARMADA,BE,NARMADA AGROBASE LIMITED,2,5
20,PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,2,5
21,SECURKLOUD,BE,SECUREKLOUD TECHNOLOGIES LIMITED,2,5
22,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,2,5
23,SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,2,5
24,VASWANI,BE,VASWANI INDUSTRIES LIMITED,2,5
25,VIVIDHA,BE,VISAGAR POLYTEX LIMITED,2,5
26,DCG,SM,DCG CABLES & WIRES LIMITED,20,10
27,KRISHCA,SM,KRISHCA STRAPPING SOLUTIONS LIMITED,20,10
28,OCCL,BE,ORIENTAL CARBON & CHEMICALS LIMITED,20,5
29,TRIGYN,BE,TRIGYN TECHNOLOGIES LIMITED,20,5
30,WEIZMANIND,BE,WEIZMANN LIMITED,20,5
31,KSHITI-RE,BE,KSHITIJ POLYLINE LTD-RE,40,20
32,RAJMET,EQ,RAJNANDINI METAL LIMITED,5,10
33,TATAINVEST,EQ,TATA INVESTMENT CORPORATION LIMITED,5,20
34,WOCKPHARMA,EQ,WOCKHARDT LIMITED,5,20
35,MELSTAR,BZ,MELSTAR INFORMATION TECHNOLOGIES LIMITED,2,5
