1,AARTIPHARM,INE0LRU01027,607.05,20
2,HEALTHIETF,INF109KC1Q72,123.14,20
3,JLHL,INE682M01012,1148.85,20
4,DPSCLTD,INE360C01024,17.75,23
5,PONNIERODE,INE838E01017,436.35,20
6,DEEPAKNTR,INE288B01029,2334.9,20
7,THANGAMAYL,INE085J01014,1256.7,20
8,NAVNETEDUL,INE060A01024,156.4,20
9,TVSSCS,INE395N01027,175.15,20
10,RELINFRA,INE036A01016,166.05,26.17
11,NFL,INE870D01012,100.6,20.2
12,PROZONER,INE195N01013,31.25,22.98
13,JAYAGROGN,INE785A01026,237.5,20
14,MARUTI,INE585B01010,12934.9,9
15,SWANENERGY,INE665A01038,601.65,22.62
16,ALBERTDAVD,INE155C01010,1143.2,20
17,ASAHISONG,INE228I01012,364.15,20
18,KMSUGAR,INE157H01023,37.7,22.59
19,ASHIMASYN,INE440A01010,25.65,24.99
20,SIGIND,INE529F01035,91.85,22.94
21,ESG,INF769K01GS9,38.52,20
22,YUKEN,INE384C01016,1275.3,20
23,RAJESHEXPO,INE343B01030,302.45,20
24,IGPL,INE204A01010,502.15,20
25,BLUESTARCO,INE472A01039,1525.6,20
26,SGBJAN29IX,IN0020200377,7299.5,10
27,ITI,INE248A01017,319,25.2
28,RUSTOMJEE,INE263M01029,732.35,20
29,BECTORFOOD,INE495P01012,1238.6,20
30,SGBMAR25,IN0020160126,7325,10
31,MOVALUE,INF247L01BE5,102.85,20
32,INDIAGLYCO,INE560A01015,793.45,20
33,MIDQ50ADD,INF740KA1QL0,231.72,20
34,TRIGYN,INE948A01012,113.3,20.19
35,VSTTILLERS,INE764D01017,3375.5,20
36,SGBSEP27,IN0020190115,7488,10
37,SGBNOV25VI,IN0020170083,7200,10
38,RECLTD,INE020B01018,537.35,20
39,AXISCETF,INF846K016C7,109.68,20
40,IDFNIFTYET,INF194KA1U07,240.88,8.28
41,SGBAUG27,IN0020190107,7430,10
42,VERANDA,INE0IQ001011,165.4,21.3
43,JUBLINDS,INE645L01011,1105.3,22.29
44,PASUPTAC,INE818B01023,36.6,20.77
45,CENTRUM,INE660C01027,41.9,24.81
