Sr. No,Symbol,Series,Security Name,From,To
1,KORE,SM,JAY JALARAM TECHNOLOGIES LIMITED,10,20
2,PREMEXPLN,EQ,PREMIER EXPLOSIVES LIMITED,10,5
3,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,10,5
4,ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,2,5
5,JAIPURKURT,BE,NANDANI CREATION LIMITED,2,5
6,KRIDHANINF,BE,KRIDHAN INFRA LIMITED,2,5
7,MODTHREAD,BE,MODERN THREADS (INDIA) LIMITED,2,5
8,RAJTV,BE,RAJ TELEVISION NETWORK LIMITED,2,5
9,REGENCERAM,BE,REGENCY CERAMICS LIMITED,2,5
10,SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,5
11,SALSTEEL,BE,S.A.L. STEEL LIMITED,2,5
12,SETCO,BE,SETCO AUTOMOTIVE LIMITED,2,5
13,VIJIFIN,BE,VIJI FINANCE LIMITED,2,5
14,ZODIAC,BE,ZODIAC ENERGY LIMITED,2,5
15,LEMERITE,SM,LE MERITE EXPORTS LIMITED,20,10
16,LGBFORGE,EQ,LGB FORGE LIMITED,20,10
17,SHRADHA,EQ,SHRADHA INFRAPROJECTS LIMITED,20,10
18,BOROSCI,EQ,BOROSIL SCIENTIFIC LIMITED,5,20
19,CTE,EQ,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,5,20
20,RPPINFRA,EQ,R.P.P. INFRA PROJECTS LIMITED,5,20
21,TBI,SM,TBI CORN LIMITED,5,10
22,TIMESGTY,EQ,TIMES GUARANTY LIMITED,5,10
