Sr. No,Symbol,Series,Security Name,From,To
1,APS,SM,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,10,5
2,CAPTRUST,EQ,CAPITAL TRUST LIMITED,10,20
3,DRONE,SM,DRONE DESTINATION LIMITED,10,5
4,GEPIL,EQ,GE POWER INDIA LIMITED,10,20
5,HITECHGEAR,EQ,THE HI-TECH GEARS LIMITED,10,5
6,INDOTECH,EQ,INDO TECH TRANSFORMERS LIMITED,10,5
7,PRATHAM,SM,PRATHAM EPC PROJECTS LIMITED,10,5
8,SABTNL,BE,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,10,5
9,SSFL,SM,SRIVARI SPICES AND FOODS LIMITED,10,5
10,SUNDARMHLD,EQ,SUNDARAM FINANCE HOLDINGS LIMITED,10,20
11,CYBERMEDIA,BE,CYBER MEDIA (INDIA) LIMITED,2,5
12,ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,2,5
13,RHFL,BE,RELIANCE HOME FINANCE LIMITED,2,5
14,TIJARIA,BE,TIJARIA POLYPIPES LIMITED,2,5
15,VARDMNPOLY,BE,VARDHMAN POLYTEX LIMITED,2,5
16,VIJIFIN,BE,VIJI FINANCE LIMITED,2,5
17,DSSL,EQ,DYNACONS SYSTEMS & SOLUTIONS LIMITED,20,10
18,MANORAMA,EQ,MANORAMA INDUSTRIES LIMITED,20,10
19,MANOMAY,EQ,MANOMAY TEX INDIA LIMITED,5,20
20,SILGO,EQ,SILGO RETAIL LIMITED,5,20
21,TCLCONS,EQ,TANTIA CONSTRUCTIONS LIMITED,5,10
22,TPHQ,BE,TEAMO PRODUCTIONS HQ LIMITED,5,2
23,TRUST,SM,TRUST FINTECH LIMITED,5,10
