Sr. No,Symbol,Series,Security Name,From,To
1,ASHOKAMET,EQ,ASHOKA METCAST LIMITED,10,5
2,YUDIZ,SM,YUDIZ SOLUTIONS LIMITED,10,5
3,CUBEXTUB,BE,CUBEX TUBINGS LIMITED,2,5
4,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,5
5,GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,5
6,INDSWFTLTD,BE,IND-SWIFT LIMITED,2,5
7,LAGNAM,BE,LAGNAM SPINTEX LIMITED,2,5
8,NITCO,BE,NITCO LIMITED,2,5
9,PARASPETRO,BE,PARAS PETROFILS LIMITED,2,5
10,PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,2,5
11,PRAENG,BE,PRAJAY ENGINEERS SYNDICATE LIMITED,2,5
12,RPPINFRA,BE,R.P.P. INFRA PROJECTS LIMITED,2,5
13,STARTECK,BE,STARTECK FINANCE LIMITED,2,5
14,THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,2,5
15,TRF,BE,TRF LIMITED,2,5
16,UMAEXPORTS,BE,UMA EXPORTS LIMITED,2,5
17,AMEYA,SM,AMEYA PRECISION ENGINEERS LIMITED,20,10
18,ATLANTAA,BE,ATLANTAA LIMITED,5,2
19,BCONCEPTS,EQ,BRAND CONCEPTS LIMITED,5,10
20,IRIS,BE,IRIS BUSINESS SERVICES LIMITED,5,2
21,JMA,EQ,JULLUNDUR MOTOR AGENCY (DELHI) LIMITED,5,20
22,MITTAL,EQ,MITTAL LIFE STYLE LIMITED,5,20
23,PFS,EQ,PTC INDIA FINANCIAL SERVICES LIMITED,5,20
24,PRECOT,EQ,PRECOT LIMITED,5,20
25,PRLIND,SM,PREMIER ROADLINES LIMITED,5,20
26,SANGINITA,EQ,SANGINITA CHEMICALS LIMITED,5,10
27,SUPERSPIN,EQ,SUPER SPINNING MILLS LIMITED,5,20
28,SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,5,2
