Sr. No,Symbol,Series,Security Name,From,To
1,ATLANTAA,EQ,ATLANTAA LIMITED,10,5
2,GKWLIMITED,EQ,GKW LIMITED,10,5
3,ORIANA,SM,ORIANA POWER LIMITED,10,5
4,TIMETECHNO,EQ,TIME TECHNOPLAST LIMITED,10,20
5,ANTGRAPHIC,BE,ANTARCTICA LIMITED,2,5
6,BKMINDST,BZ,BKM INDUSTRIES LIMITED,2,5
7,GUJRAFFIA,BE,GUJARAT RAFFIA INDUSTRIES LIMITED,2,5
8,PARASPETRO,BE,PARAS PETROFILS LIMITED,2,5
9,SADBHIN,BE,SADBHAV INFRASTRUCTURE PROJECT LIMITED,2,5
10,STARTECK,BE,STARTECK FINANCE LIMITED,2,5
11,TRF,BE,TRF LIMITED,2,5
12,ZODIAC,BE,ZODIAC ENERGY LIMITED,2,5
13,CADSYS,SM,CADSYS (INDIA) LIMITED,20,10
14,KEYFINSERV,BE,KEYNOTE FINANCIAL SERVICES LIMITED,20,5
15,MINDTECK,EQ,MINDTECK (INDIA) LIMITED,20,10
16,RELINFRA,EQ,RELIANCE INFRASTRUCTURE LIMITED,20,10
17,AAATECH,EQ,AAA TECHNOLOGIES LIMITED,5,20
18,ADANIPOWER,EQ,ADANI POWER LIMITED,5,20
19,DOLPHIN,EQ,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,5,10
20,TECILCHEM,BE,TECIL CHEMICALS AND HYDRO POWER LIMITED,5,2
21,TIRUPATIFL,EQ,TIRUPATI FORGE LIMITED,5,10
