Sr. No,Symbol,Series,Security Name,From,To
1,AAREYDRUGS,EQ,AAREY DRUGS & PHARMACEUTICALS LIMITED,10,5
2,ESFL,SM,ESSEN SPECIALITY FILMS LIMITED,20,10
3,FILATFASH,BE,FILATEX FASHIONS LIMITED,20,5
4,LOVABLE,BE,LOVABLE LINGERIE LIMITED,20,5
5,RUCHINFRA,BE,RUCHI INFRASTRUCTURE LIMITED,20,5
6,SHREEPUSHK,BE,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,20,5
7,VETO,BE,VETO SWITCHGEARS AND CABLES LIMITED,20,5
8,VINNY-RE,BE,VINNY OVERSEAS LTD-RE,40,20
9,AESTHETIK,SM,AESTHETIK ENGINEERS LIMITED,5,20
10,MEDICO,BE,MEDICO REMEDIES LIMITED,5,2
11,INDIACEM,EQ,THE INDIA CEMENTS LIMITED,No Band,20
