Symbol,Security,From Series,To Series,Change Date,Remarks
AHLADA,AHLADA ENGINEERS LIMITED,BE,EQ,02-SEP-2024,"-"
ASTRON,ASTRON PAPER & BOARD MILL LIMITED,BE,EQ,02-SEP-2024,"-"
BALPHARMA,BAL PHARMA LIMITED,EQ,BE,02-SEP-2024,"-"
BANKA,BANKA BIOLOO LIMITED,BE,EQ,02-SEP-2024,"-"
BRNL,BHARAT ROAD NETWORK LIMITED,BE,EQ,02-SEP-2024,"-"
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED,EQ,BE,02-SEP-2024,"-"
FMNL,FUTURE MARKET NETWORKS LIMITED,EQ,BE,02-SEP-2024,"-"
KCPSUGIND,KCP SUGAR AND INDUSTRIES CORPORATION LIMITED,EQ,BE,02-SEP-2024,"-"
SAKUMA,SAKUMA EXPORTS LIMITED,EQ,BE,02-SEP-2024,"-"
SMARTLINK,SMARTLINK HOLDINGS LIMITED,BE,EQ,02-SEP-2024,"-"
SUNDRMBRAK,SUNDARAM BRAKE LININGS LIMITED,EQ,BE,02-SEP-2024,"-"
TVSELECT,TVS ELECTRONICS LIMITED,EQ,BE,02-SEP-2024,"-"
UMAEXPORTS,UMA EXPORTS LIMITED,EQ,BE,02-SEP-2024,"-"
VIVIDHA,VISAGAR POLYTEX LIMITED,BE,EQ,02-SEP-2024,"GSM STAGE - 0"
WANBURY,WANBURY LIMITED,EQ,BE,02-SEP-2024,"-"
