"Security Name","Symbol Name","Trade Date","Quantity"
"HDFC STANDARD LIFE INSURANCE COMPANY LIMITED","HDFCLIFE","29-Aug-2024","75299"
"THE INDIAN HOTELS CO. LTD","INDHOTEL","29-Aug-2024","3503"
"INTERGLOBE AVIATION LTD  ","INDIGO","29-Aug-2024","3700"
"COALINDIA","COALINDIA","29-Aug-2024","2800"
"COFORGE LIMITED","COFORGE","29-Aug-2024","300"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","29-Aug-2024","1588"
"MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","M&MFIN","29-Aug-2024","2000"
"BALKRISHNA IND. LTD      ","BALKRISIND","29-Aug-2024","1500"
"MAHINDRA & MAHINDRA LTD","M&M","29-Aug-2024","360"
"ATUL LTD","ATUL","29-Aug-2024","100"
"PIRAMAL ENTERPRISES LTD","PEL","29-Aug-2024","750"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","29-Aug-2024","850"
"UNITED SPIRITS LIMITED","UNITDSPR","29-Aug-2024","700"
"BAJAJ FINSERV LIMITED","BAJAJFINSV","29-Aug-2024","1500"
"RURAL ELEC CORP. LTD.","RECLTD","29-Aug-2024","6000"
"SUN PHARMACEUTICALS IND.","SUNPHARMA","29-Aug-2024","700"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","29-Aug-2024","11900"
"GLENMARK PHARMACEUTICALS LIMITED","GLENMARK","29-Aug-2024","2900"
"HINDUSTAN AERONAUTICS LTD","HAL","29-Aug-2024","600"
"INFOSYS TECHNOLOGIES LTD","INFY","29-Aug-2024","19905"
"BERGER PAINTS (I) LIMITED","BERGEPAINT","29-Aug-2024","1320"
"CITY UNION BANK LTD      ","CUB","29-Aug-2024","5000"
"INFO EDGE (I) LTD","NAUKRI","29-Aug-2024","2675"
"ACTION CONST EQUIP LTD","ACE","29-Aug-2024","15"
"BAJAJ FINANCE LIMITED","BAJFINANCE","29-Aug-2024","6192"
"BOSCH LIMITED","BOSCHLTD","29-Aug-2024","225"
"ABB LTD.","ABB","29-Aug-2024","2875"
"BALRAMPUR CHINI MILLS LTD","BALRAMCHIN","29-Aug-2024","14400"
"SBI LIFE INSURANCE COMPANY LIMITED","SBILIFE","29-Aug-2024","4201"
"CHAMBAL FERTILIZERS LTD","CHAMBLFERT","29-Aug-2024","5700"
"AU SMALL FINANCE BANK LIMITED","AUBANK","29-Aug-2024","4000"
"PUNJAB NATIONAL BANK","PNB","29-Aug-2024","56000"
"PVR INOX Limited","PVRINOX","29-Aug-2024","407"
"VEDANTA LIMITED","VEDL","29-Aug-2024","9200"
"MAHANAGAR GAS LTD.    ","MGL","29-Aug-2024","1200"
"SURYA ROSHNI LTD","SURYAROSNI","29-Aug-2024","66"
"LTIMINDTREE LIMITED","LTIM","29-Aug-2024","6046"
"MUTHOOT FINANCE LIMITED","MUTHOOTFIN","29-Aug-2024","2200"
"APOLLO HOSPITALS ENTERPRISE LIMITED","APOLLOHOSP","29-Aug-2024","125"
"NTPC LTD","NTPC","29-Aug-2024","7500"
"GMR INFRASTRUCTURE LTD.","GMRINFRA","29-Aug-2024","11250"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","29-Aug-2024","1500"
"BHARAT ELECTRONICS LTD","BEL","29-Aug-2024","17101"
"HCL TECHNOLOGIES LTD","HCLTECH","29-Aug-2024","3890"
"PERSISTENT SYSTEMS LTD","PERSISTENT","29-Aug-2024","1000"
"VOLTAS LTD","VOLTAS","29-Aug-2024","3600"
"HDFC BANK LTD","HDFCBANK","29-Aug-2024","3313"
