Sr. No,Symbol,Series,Security Name,From,To
1,AAATECH,BE,AAA TECHNOLOGIES LIMITED,10,5
2,HINDMOTORS,EQ,HINDUSTAN MOTORS LIMITED,10,5
3,PATTECH,ST,PATTECH FITWELL TUBE COMPONENTS LIMITED,10,5
4,ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,20,5
5,MANORG,BE,MANGALAM ORGANICS LIMITED,20,5
6,SEMAC,BE,SEMAC CONSULTANTS LIMITED,20,5
7,URAVI,BE,URAVI T AND WEDGE LAMPS LIMITED,20,5
8,BKMINDST,BZ,BKM INDUSTRIES LIMITED,5,2
9,CTE,BE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,5,2
10,SHYAMTEL,BE,SHYAM TELECOM LIMITED,5,2
11,TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,5,2
