Symbol,Security,From Series,To Series,Change Date,Remarks
APOLLO,APOLLO MICRO SYSTEMS LIMITED,EQ,BE,06-MAY-2024,"-"
BCONCEPTS,BRAND CONCEPTS LIMITED,BE,EQ,06-MAY-2024,"-"
GODHA,GODHA CABCON & INSULATION LIMITED,BE,EQ,06-MAY-2024,"-"
MASKINVEST,MASK INVESTMENTS LIMITED,EQ,BE,06-MAY-2024,"GSM STAGE - II"
MHLXMIRU,MAHALAXMI RUBTECH LIMITED,BE,EQ,06-MAY-2024,"-"
PFS,PTC INDIA FINANCIAL SERVICES LIMITED,BE,EQ,06-MAY-2024,"-"
TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,BE,EQ,06-MAY-2024,"-"
UNIVASTU,UNIVASTU INDIA LIMITED,EQ,BE,06-MAY-2024,"-"
URJA,URJA GLOBAL LIMITED,BE,EQ,06-MAY-2024,"-"
VARDMNPOLY,VARDHMAN POLYTEX LIMITED,BE,EQ,06-MAY-2024,"-"
