Sr. No,Symbol,Series,Security Name,From,To
1,ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,10,5
2,DOLPHIN,BE,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,10,5
3,SADBHAV,EQ,SADBHAV ENGINEERING LIMITED,10,5
4,AAATECH,EQ,AAA TECHNOLOGIES LIMITED,20,10
5,CANARYS,SM,CANARYS AUTOMATIONS LIMITED,20,10
6,GLOBAL,BE,GLOBAL EDUCATION LIMITED,20,5
7,MHLXMIRU,BE,MAHALAXMI RUBTECH LIMITED,20,5
8,RAMCOSYS,EQ,RAMCO SYSTEMS LIMITED,20,10
9,ASPIRE,SM,ASPIRE & INNOVATIVE ADVERTISING LIMITED,5,20
10,BLUEPEBBLE,SM,BLUE PEBBLE LIMITED,5,20
11,SRM,EQ,SRM CONTRACTORS LIMITED,5,20
12,S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,5,2
