Confirmed list of securities to be auctioned in A 2024073 to be held on Apr 19 2024.

Sr No,Symbol,Series,Total Qty
1,AAATECH,EQ,4053
2,ABFRL,EQ,300
3,ACCELYA,EQ,2
4,ACI,EQ,1
5,ACLGATI,EQ,50
6,ADANIENSOL,EQ,3
7,AGI,EQ,50
8,AHL,EQ,525
9,AHLADA,EQ,3
10,ALPEXSOLAR,SM,1200
11,APOLLOHOSP,EQ,18
12,APOLLOTYRE,EQ,427
13,APS,SM,2000
14,ARE&M,EQ,2
15,AROGRANITE,EQ,54
16,ARVINDFASN,EQ,3
17,ASTRAMICRO,EQ,125
18,ATLANTAA,EQ,3335
19,AUROPHARMA,EQ,6
20,AUSOMENT,EQ,10
21,BAJEL,EQ,992
22,BALKRISIND,EQ,10
23,BANCOINDIA,EQ,50
24,BANDHANBNK,EQ,90
25,BANKBARODA,EQ,172
26,BDL,EQ,10
27,BEML,EQ,100
28,BHAGCHEM,EQ,1
29,BHEL,EQ,533
30,BLISSGVS,EQ,2
31,BPCL,EQ,14
32,BRIGADE,EQ,150
33,BRITANNIA,EQ,36
34,BSE,EQ,1
35,CAMPUS,EQ,1
36,CAMS,EQ,30
37,CANTABIL,EQ,1
38,CARBORUNIV,EQ,1
39,CASTROLIND,EQ,10
40,CELEBRITY,EQ,35
41,CESC,EQ,2000
42,CGPOWER,EQ,650
43,CHOLAFIN,EQ,1
44,COFORGE,EQ,11
45,COLPAL,EQ,100
46,COROMANDEL,EQ,6
47,CREST,EQ,1
48,CYIENTDLM,EQ,8
49,DAMODARIND,EQ,10
50,DCMSRIND,EQ,97
51,DEEPAKNTR,EQ,5
52,DGCONTENT,EQ,186
53,DIVGIITTS,EQ,50
54,DMART,EQ,10
55,DPABHUSHAN,EQ,8
56,DSSL,EQ,48
57,EGOLD,EQ,134
58,ELIN,EQ,125
59,ENERGYDEV,EQ,101
60,EPACK,EQ,10
61,ESCORTS,EQ,10
62,ESSARSHPNG,EQ,275
63,EXICOM,EQ,3
64,EXIDEIND,EQ,30
65,FIEMIND,EQ,1
66,FOCUS,EQ,311
67,GAIL,EQ,1
68,GANECOS,EQ,1
69,GARFIBRES,EQ,8
70,GEECEE,EQ,3
71,GENUSPOWER,EQ,7
72,GFLLIMITED,EQ,4
73,GMRINFRA,EQ,4401
74,GNFC,EQ,3
75,GOLDBEES,EQ,16
76,GOLDETF,EQ,344
77,GRANULES,EQ,171
78,GSLSU,EQ,1
79,GTLINFRA,EQ,3
80,GULFOILLUB,EQ,106
81,HAVELLS,EQ,150
82,HCC,EQ,4705
83,HCLTECH,EQ,69
84,HDFCAMC,EQ,18
85,HDFCBANK,EQ,100
86,HDFCLIQUID,EQ,1
87,HINDCOPPER,EQ,500
88,HINDPETRO,EQ,787
89,HINDWAREAP,EQ,50
90,HINDZINC,EQ,1
91,HIRECT,EQ,752
92,HITECHGEAR,EQ,425
93,HSCL,EQ,1035
94,HUDCO,EQ,725
95,HUDCO,N2,50
96,IBREALEST,EQ,3747
97,ICICIGI,EQ,2
98,IDFCFIRSTB,EQ,1338
99,IEL,EQ,408
100,IEX,EQ,244
101,IKIO,EQ,1
102,INDIAMART,EQ,1
103,INDOTECH,EQ,208
104,INDTERRAIN,EQ,50
105,INDUSTOWER,EQ,1336
106,IOB,EQ,136
107,IOC,EQ,49
108,IPCALAB,EQ,1
109,IRCON,EQ,6
110,IRCTC,EQ,10
111,IREDA,EQ,50
112,IVZINNIFTY,EQ,1
113,J&KBANK,EQ,1
114,JAYNECOIND,EQ,720
115,JINDWORLD,EQ,1
116,JMFINANCIL,EQ,1613
117,JPASSOCIAT,EQ,1000
118,JSWENERGY,EQ,1
119,JSWSTEEL,EQ,162
120,JUBLFOOD,EQ,6
121,JUBLINDS,EQ,65
122,JUBLPHARMA,EQ,25
123,JUSTDIAL,EQ,60
124,KALYANKJIL,EQ,2
125,KMSUGAR,EQ,121331
126,KOPRAN,EQ,500
127,KPIGREEN,EQ,692
128,LAXMICOT,EQ,768
129,LICNETFGSC,EQ,7
130,LIKHITHA,EQ,634
131,LINCOLN,EQ,1
132,LIQUID,EQ,1
133,LIQUIDADD,EQ,24
134,LIQUIDETF,EQ,25
135,LYPSAGEMS,EQ,1
136,MAHABANK,EQ,1
137,MANAKCOAT,EQ,1720
138,MANKIND,EQ,30
139,MAZDOCK,EQ,60
140,MCX,EQ,53
141,MIDCAP,EQ,2
142,MOREPENLAB,EQ,2
143,MOTHERSON,EQ,478
144,MPHASIS,EQ,171
145,MVGJL,EQ,1
146,NATHBIOGEN,EQ,3
147,NATIONALUM,EQ,200
148,NAVINFLUOR,EQ,23
149,NAVINIFTY,EQ,1
150,NBCC,EQ,20
151,NETWEB,EQ,112
152,NIACL,EQ,50
153,NIFTYBEES,EQ,64
154,NIITMTS,EQ,256
155,NILASPACES,EQ,1400
156,NLCINDIA,EQ,4800
157,NSLNISP,EQ,934
158,ORICONENT,EQ,5
159,ORIENTCER,EQ,341
160,OWAIS,SM,1600
161,PEL,EQ,5
162,PIDILITIND,EQ,130
163,PIIND,EQ,30
164,PNB,EQ,7916
165,POKARNA,EQ,2
166,PRATHAM,SM,1600
167,PRIMESECU,EQ,4
168,PRINCEPIPE,EQ,10
169,PURVA,EQ,1
170,PVP,EQ,22
171,QUICKHEAL,EQ,90
172,RADIOCITY,EQ,1
173,RAINBOW,EQ,2915
174,RAMANEWS,EQ,200
175,RAMCOCEM,EQ,1700
176,RECLTD,EQ,30
177,REFEX,EQ,456
178,RELINFRA,EQ,100
179,REPCOHOME,EQ,1
180,RESPONIND,EQ,3
181,RIIL,EQ,150
182,RUSTOMJEE,EQ,1
183,RVNL,EQ,254
184,SAH,EQ,10
185,SAIL,EQ,50
186,SAKHTISUG,EQ,2
187,SBGLP,EQ,20043
188,SBIN,EQ,297
189,SDL24BEES,EQ,2
