Sr. No,Symbol,Series,Security Name,From,To
1,AJOONI,EQ,AJOONI BIOTECH LIMITED,10,5
2,FROG,SM,FROG CELLSAT LIMITED,10,5
3,INDOWIND,EQ,INDOWIND ENERGY LIMITED,10,5
4,KRISHCA,SM,KRISHCA STRAPPING SOLUTIONS LIMITED,10,5
5,VASA,SM,VASA RETAIL AND OVERSEAS LTD,10,5
6,ZENTEC,EQ,ZEN TECHNOLOGIES LIMITED,10,5
7,ADSL,EQ,ALLIED DIGITAL SERVICES LIMITED,20,10
8,AKANKSHA,SM,AKANKSHA POWER AND INFRASTRUCTURE LIMITED,20,10
9,BASILIC,SM,BASILIC FLY STUDIO LIMITED,20,10
10,ENFUSE,SM,ENFUSE SOLUTIONS LIMITED,20,10
11,GMBREW,EQ,GM BREWERIES LIMITED,20,10
12,BTML,BE,BODHI TREE MULTIMEDIA LIMITED,5,2
13,SRPL,BE,SHREE RAM PROTEINS LIMITED,5,2
