Sr. No,Symbol,Series,Security Name,From,To
1,AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,10,5
2,APOLSINHOT,EQ,APOLLO SINDOORI HOTELS LIMITED,10,20
3,ARCHIDPLY,EQ,ARCHIDPLY INDUSTRIES LIMITED,10,20
4,ARVEE,EQ,ARVEE LABORATORIES (INDIA) LIMITED,10,20
5,ASAL,EQ,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,10,20
6,ATAM,EQ,ATAM VALVES LIMITED,10,20
7,ATL,EQ,ALLCARGO TERMINALS LIMITED,10,20
8,AURDIS,SM,AURANGABAD DISTILLERY LIMITED,10,20
9,BASILIC,SM,BASILIC FLY STUDIO LIMITED,10,20
10,BSHSL,EQ,BOMBAY SUPER HYBRID SEEDS LIMITED,10,20
11,CADSYS,SM,CADSYS (INDIA) LIMITED,10,20
12,CMRSL,SM,CYBER MEDIA RESEARCH & SERVICES LIMITED,10,5
13,COMPUSOFT,EQ,COMPUCOM SOFTWARE LIMITED,10,20
14,DANGEE,EQ,DANGEE DUMS LIMITED,10,20
15,DATAPATTNS,EQ,DATA PATTERNS (INDIA) LIMITED,10,20
16,DELPHIFX,EQ,DELPHI WORLD MONEY LIMITED,10,20
17,DIGIKORE,SM,DIGIKORE STUDIOS LIMITED,10,20
18,DIL,EQ,DEBOCK INDUSTRIES LIMITED,10,20
19,ENERGYDEV,EQ,ENERGY DEVELOPMENT COMPANY LIMITED,10,5
20,FORCEMOT,EQ,FORCE MOTORS LTD,10,20
21,GIRRESORTS,IT,GIR NATUREVIEW RESORTS LIMITED,10,5
22,GOLDSTAR,SM,GOLDSTAR POWER LIMITED,10,20
23,HIGREEN,SM,HI-GREEN CARBON LIMITED,10,20
24,HILTON,EQ,HILTON METAL FORGING LIMITED,10,5
25,HINDMOTORS,EQ,HINDUSTAN MOTORS LIMITED,10,20
26,HUDCO,EQ,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,10,20
27,IIFL,EQ,IIFL FINANCE LIMITED,10,20
28,INDSWFTLTD,EQ,IND-SWIFT LIMITED,10,20
29,INNOVANA,SM,INNOVANA THINKLABS LIMITED,10,20
30,IOB,EQ,INDIAN OVERSEAS BANK,10,20
31,IRB,EQ,IRB INFRASTRUCTURE DEVELOPERS LIMITED,10,20
32,ITALIANE,SM,ITALIAN EDIBLES LIMITED,10,20
33,JAYBARMARU,EQ,JAY BHARAT MARUTI LIMITED,10,20
34,JETFREIGHT,EQ,JET FREIGHT LOGISTICS LIMITED,10,20
35,JTLIND,EQ,JTL INDUSTRIES LIMITED,10,20
36,JWL,EQ,JUPITER WAGONS LIMITED,10,20
37,KANDARP,SM,KANDARP DIGI SMART BPO LIMITED,10,20
38,KEL,SM,KUNDAN EDIFICE LIMITED,10,20
39,KEYFINSERV,EQ,KEYNOTE FINANCIAL SERVICES LIMITED,10,20
40,KHADIM,EQ,KHADIM INDIA LIMITED,10,20
41,KHFM,SM,KHFM HOSPITALITY AND FACILITY MANAGEMENT SERVICES LIMITED,10,20
42,KIOCL,EQ,KIOCL LIMITED,10,20
43,LEXUS,EQ,LEXUS GRANITO (INDIA) LIMITED,10,20
44,LLOYDSENGG,EQ,LLOYDS ENGINEERING WORKS LIMITED,10,20
45,LRRPL,SM,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,10,5
46,LYKALABS,EQ,LYKA LABS LIMITED,10,20
47,MGEL,EQ,MANGALAM GLOBAL ENTERPRISE LIMITED,10,20
48,MOS,SM,MOS UTILITY LIMITED,10,20
49,MRPL,EQ,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,10,20
50,OSWALGREEN,EQ,OSWAL GREENTECH LIMITED,10,20
51,PALASHSECU,EQ,PALASH SECURITIES LIMITED,10,20
52,PARTYCRUS,SM,PARTY CRUISERS LIMITED,10,20
53,PDMJEPAPER,EQ,PUDUMJEE PAPER PRODUCTS LIMITED,10,20
54,PSB,EQ,PUNJAB & SIND BANK,10,20
55,RAILTEL,EQ,RAILTEL CORPORATION OF INDIA LIMITED,10,20
56,ROML,EQ,RAJ OIL MILLS LIMITED,10,20
57,SABAR,SM,SABAR FLEX INDIA LIMITED,10,5
58,SAKHTISUG,EQ,SAKTHI SUGARS LIMITED,10,20
59,SUPREMEPWR,SM,SUPREME POWER EQUIPMENT LIMITED,10,20
60,TCL,SM,THAAI CASTING LIMITED,10,20
61,UCOBANK,EQ,UCO BANK,10,20
62,VAKRANGEE,EQ,VAKRANGEE LIMITED,10,20
63,VIAZ,SM,VIAZ TYRES LIMITED,10,5
64,VIKASECO,EQ,VIKAS ECOTECH LIMITED,10,20
65,WEIZMANIND,EQ,WEIZMANN LIMITED,10,20
66,WEWIN,EQ,WE WIN LIMITED,10,20
67,ZEAL,SM,ZEAL GLOBAL SERVICES LIMITED,10,20
68,GVPTECH,EQ,GVP INFOTECH LIMITED,2,5
69,SELMC,EQ,SEL MANUFACTURING COMPANY LIMITED,2,5
70,GEPIL,EQ,GE POWER INDIA LIMITED,20,10
71,LOKESHMACH,EQ,LOKESH MACHINES LIMITED,20,10
72,RAMKY,EQ,RAMKY INFRASTRUCTURE LIMITED,20,10
