Sr. No,Symbol,Series,Security Name,From,To
1,CELLECOR,SM,CELLECOR GADGETS LIMITED,10,5
2,HOVS,EQ,HOV SERVICES LIMITED,10,5
3,PANSARI,EQ,PANSARI DEVELOPERS LIMITED,10,5
4,A2ZINFRA,BE,A2Z INFRA ENGINEERING LIMITED,2,5
5,DCMFINSERV,BE,DCM FINANCIAL SERVICES LIMITED,2,5
6,E2E,BE,E2E NETWORKS LIMITED,2,5
7,GLOBE,BE,GLOBE TEXTILES (INDIA) LIMITED,2,5
8,GODHA,BE,GODHA CABCON & INSULATION LIMITED,2,5
9,IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,2,5
10,KRIDHANINF,BE,KRIDHAN INFRA LIMITED,2,5
11,MBECL,BE,MCNALLY BHARAT ENGINEERING COMPANY LIMITED,2,5
12,TCLCONS,BE,TANTIA CONSTRUCTIONS LIMITED,2,5
13,VINNY,BE,VINNY OVERSEAS LIMITED,2,5
14,BHAGYANGR,EQ,BHAGYANAGAR INDIA LIMITED,20,10
15,CAPTRUST,EQ,CAPITAL TRUST LIMITED,20,10
16,RAMANEWS,EQ,SHREE RAMA NEWSPRINT LIMITED,20,10
17,SCILAL,EQ,SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED,20,10
18,AKASH,EQ,AKASH INFRA PROJECTS LIMITED,5,20
19,AKSHAR,BE,AKSHAR SPINTEX LIMITED,5,2
20,ARTNIRMAN,BE,ART NIRMAN LIMITED,5,2
21,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,5,2
22,BAGFILMS,BE,B.A.G FILMS AND MEDIA LIMITED,5,2
23,BANKA,BE,BANKA BIOLOO LIMITED,5,2
24,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,5,2
25,BRNL,BE,BHARAT ROAD NETWORK LIMITED,5,2
26,BROOKS,BE,BROOKS LABORATORIES LIMITED,5,2
27,CENTEXT,BE,CENTURY EXTRUSIONS LIMITED,5,2
28,CORALFINAC,BE,CORAL INDIA FINANCE & HOUSING LIMITED,5,2
29,GILLANDERS,BE,GILLANDERS ARBUTHNOT & COMPANY LIMITED,5,2
30,GOYALALUM,BE,GOYAL ALUMINIUMS LIMITED,5,2
31,GTL,BE,GTL LIMITED,5,2
32,HBSL,EQ,HB STOCKHOLDINGS LIMITED,5,10
33,IMPEXFERRO,BE,IMPEX FERRO TECH LIMITED,5,2
34,IVP,BE,IVP LIMITED,5,2
35,KANANIIND,BE,KANANI INDUSTRIES LIMITED,5,2
36,KSHITIJPOL,BE,KSHITIJ POLYLINE LIMITED,5,2
37,LCCINFOTEC,BE,LCC INFOTECH LIMITED,5,2
38,MADHAV,BE,MADHAV MARBLES AND GRANITES LIMITED,5,2
39,MANAKSTEEL,BE,MANAKSIA STEELS LIMITED,5,2
40,MARSHALL,BE,MARSHALL MACHINES LIMITED,5,2
41,MCLEODRUSS,BE,MCLEOD RUSSEL INDIA LIMITED,5,2
42,MKPL,BE,M K PROTEINS LIMITED,5,2
43,MOKSH,BE,MOKSH ORNAMENTS LIMITED,5,2
44,NARMADA,BE,NARMADA AGROBASE LIMITED,5,2
45,NILAINFRA,BE,NILA INFRASTRUCTURES LIMITED,5,2
46,NOIDATOLL,BE,NOIDA TOLL BRIDGE COMPANY LIMITED,5,2
47,PILITA,BE,PIL ITALICA LIFESTYLE LIMITED,5,2
48,PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,5,2
49,RAJMET,BE,RAJNANDINI METAL LIMITED,5,2
50,SANGINITA,BE,SANGINITA CHEMICALS LIMITED,5,2
51,SECMARK,EQ,SECMARK CONSULTANCY LIMITED,5,10
52,SECURKLOUD,BE,SECUREKLOUD TECHNOLOGIES LIMITED,5,2
53,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,5,2
54,SURANAT&P,BE,SURANA TELECOM AND POWER LIMITED,5,2
55,TARMAT,BE,TARMAT LIMITED,5,2
56,TERASOFT,BE,TERA SOFTWARE LIMITED,5,2
57,TVVISION,BE,TV VISION LIMITED,5,2
58,UNIINFO,BE,UNIINFO TELECOM SERVICES LIMITED,5,2
59,USK,BE,UDAYSHIVAKUMAR INFRA LIMITED,5,2
60,VASWANI,BE,VASWANI INDUSTRIES LIMITED,5,2
61,VINEETLAB,BE,VINEET LABORATORIES LIMITED,5,2
62,VIPULLTD,BE,VIPUL LIMITED,5,2
63,VISESHINFO,BZ,VISESH INFOTECNICS LIMITED,5,2
64,VIVIDHA,BE,VISAGAR POLYTEX LIMITED,5,2
65,ZEELEARN,BE,ZEE LEARN LIMITED,5,2
