1,AARTIPHARM,INE0LRU01027,451.15,20
2,HEALTHIETF,INF109KC1Q72,123.04,20
3,JLHL,INE682M01012,1209.65,20
4,DPSCLTD,INE360C01024,18.2,24.44
5,PONNIERODE,INE838E01017,421.15,20
6,DEEPAKNTR,INE288B01029,2219.9,20
7,THANGAMAYL,INE085J01014,1311.45,20
8,NAVNETEDUL,INE060A01024,143.25,20
9,TVSSCS,INE395N01027,175.95,20
10,RELINFRA,INE036A01016,298.9,24.3
11,NFL,INE870D01012,104.2,21.31
12,PROZONER,INE195N01013,33.8,23.93
13,JAYAGROGN,INE785A01026,236,20
14,MARUTI,INE585B01010,12421.6,9
15,SWANENERGY,INE665A01038,674.9,23.91
16,ALBERTDAVD,INE155C01010,1200.45,20
17,ASAHISONG,INE228I01012,346.5,20
18,KMSUGAR,INE157H01023,31.7,20
19,ASHIMASYN,INE440A01010,20.15,23.89
20,SIGIND,INE529F01035,72.1,23.16
21,ESG,INF769K01GS9,37.71,20
22,YUKEN,INE384C01016,849.65,20
23,RAJESHEXPO,INE343B01030,307.45,20
24,IGPL,INE204A01010,500.5,20
25,BLUESTARCO,INE472A01039,1363.35,20
26,SGBJAN29IX,IN0020200377,6784,10
27,ITI,INE248A01017,275.65,25.57
28,RUSTOMJEE,INE263M01029,671.6,20
29,BECTORFOOD,INE495P01012,1143.4,20
30,SGBMAR25,IN0020160126,6886.96,10
31,MOVALUE,INF247L01BE5,94.21,20
32,INDIAGLYCO,INE560A01015,864.65,20
33,MIDQ50ADD,INF740KA1QL0,212.8,20
34,TRIGYN,INE948A01012,116.95,20.87
35,VSTTILLERS,INE764D01017,3314.75,20
36,SGBSEP27,IN0020190115,7050,10
37,SGBNOV25VI,IN0020170083,6850,10
38,RECLTD,INE020B01018,471.6,20
39,AXISCETF,INF846K016C7,103.18,20
40,IDFNIFTYET,INF194KA1U07,241.9,8.81
41,SGBAUG27,IN0020190107,6850.9,10
42,VERANDA,INE0IQ001011,204.65,22.67
43,JUBLINDS,INE645L01011,1298.95,23
44,PASUPTAC,INE818B01023,39.9,22.04
45,CENTRUM,INE660C01027,38.25,24.85
46,UCAL,INE139B01016,164.05,20
47,SGBMAY26,IN0020180033,6939,10
48,BLUEJET,INE0KBH01020,413.75,20
49,FLUOROCHEM,INE09N301011,3185.6,20
50,DHUNINV,INE320L01011,1257.6,22.65
51,STARPAPER,INE733A01018,250.85,20
52,GOLDCASE,INF0R8F01042,11.19,20
53,CHEMPLASTS,INE488A01050,485.65,20
54,PAGEIND,INE761H01022,34168.2,20
55,GOKULAGRO,INE314T01025,117.45,20
56,RUSHIL,INE573K01017,325.45,20
57,EICHERMOT,INE066A01021,4031.25,10.28
58,VISHNU,INE270I01022,332.25,20
59,GUJALKALI,INE186A01019,779.8,20
60,NMDC,INE584A01023,217.9,20
61,KIRLOSENG,INE146L01010,897.95,20
62,DHANI,INE274G01010,43.25,23.15
63,PNC,INE392B01011,62.05,25.17
64,MOIL,INE490G01020,318.5,20
