"Security Name","Symbol Name","Trade Date","Quantity"
"BHARTI AIRTEL LIMITED","BHARTIARTL","18-Sep-2024","674"
"GAIL (INDIA) LTD","GAIL","18-Sep-2024","275"
"HINDALCO  INDUSTRIES  LTD","HINDALCO","18-Sep-2024","218"
"RELIANCE INDUSTRIES LTD","RELIANCE","18-Sep-2024","228"
"GODREJ PROPERTIES LTD","GODREJPROP","18-Sep-2024","519"
"ADITYA BIRLA FASHION & RT","ABFRL","18-Sep-2024","380"
"HDFC STANDARD LIFE INSURANCE COMPANY LIMITED","HDFCLIFE","18-Sep-2024","58"
"INDIAMART INTERMESH LTD","INDIAMART","18-Sep-2024","31"
"SBI LIFE INSURANCE COMPANY LIMITED","SBILIFE","18-Sep-2024","2"
"HAVELLS INDIA LIMITED","HAVELLS","18-Sep-2024","30"
"SHRIRAM FINANCE LIMITED","SHRIRAMFIN","18-Sep-2024","15"
"IDFC FIRST BANK LIMI","IDFCFIRSTB","18-Sep-2024","57"
"FEDERAL BANK LTD","FEDERALBNK","18-Sep-2024","27"
"HCL TECHNOLOGIES LTD","HCLTECH","18-Sep-2024","8"
"HERO MOTOCORP LTD","HEROMOTOCO","18-Sep-2024","1475"
"THE INDIAN HOTELS CO. LTD","INDHOTEL","18-Sep-2024","2046"
"INFOSYS TECHNOLOGIES LTD","INFY","18-Sep-2024","19"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","18-Sep-2024","20"
"DLF LIMITED","DLF","18-Sep-2024","60"
"BIOCON LIMITED.","BIOCON","18-Sep-2024","5020"
"RURAL ELEC CORP. LTD.","RECLTD","18-Sep-2024","559"
"ADANI PORT & SEZ LTD","ADANIPORTS","18-Sep-2024","3500"
"BERGER PAINTS (I) LIMITED","BERGEPAINT","18-Sep-2024","175"
"EICHER MOTORS LIMITED","EICHERMOT","18-Sep-2024","1225"
"OBEROI REALTY LIMITED","OBEROIRLTY","18-Sep-2024","2100"
"SBI CARDS & PAY SER LTD","SBICARD","18-Sep-2024","63"
"CROMPT GREA CON ELEC LTD  ","CROMPTON","18-Sep-2024","630"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","18-Sep-2024","20408"
"Reliance Infrastructure Limited","RELINFRA","18-Sep-2024","30060"
"BIRLASOFT LIMITED","BSOFT","18-Sep-2024","100"
"BHEL","BHEL","18-Sep-2024","500"
"STATE BANK OF INDIA","SBIN","18-Sep-2024","322"
"AXIS BANK LIMITED","AXISBANK","18-Sep-2024","119"
"WIPRO LTD","WIPRO","18-Sep-2024","400"
"HCL INFOSYSTEMS LTD","HCL-INSYS","18-Sep-2024","13271"
"EXIDE INDUSTRIES LTD","EXIDEIND","18-Sep-2024","710"
"COALINDIA","COALINDIA","18-Sep-2024","269"
"BAJAJ FINSERV LIMITED","BAJAJFINSV","18-Sep-2024","3726"
"BAJAJ FINANCE LIMITED","BAJFINANCE","18-Sep-2024","1445"
"KEC INTL. LIMITED        ","KEC","18-Sep-2024","3183"
"LTIMINDTREE LIMITED","LTIM","18-Sep-2024","856"
"PVR INOX Limited","PVRINOX","18-Sep-2024","60"
"CIPLA LTD","CIPLA","18-Sep-2024","400"
"SIEMENS LTD","SIEMENS","18-Sep-2024","1"
"TATA MOTORS LIMITED","TATAMOTORS","18-Sep-2024","1625"
"GMR INFRASTRUCTURE LTD.","GMRINFRA","18-Sep-2024","54450"
"LARSEN & TOUBRO LTD.","LT","18-Sep-2024","2059"
"JSW STEEL LIMITED","JSWSTEEL","18-Sep-2024","354"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","18-Sep-2024","5"
"ADANI ENTERPRISES LIMITED","ADANIENT","18-Sep-2024","9"
"INDRAPRASTHA GAS LTD","IGL","18-Sep-2024","1062"
"UNITED SPIRITS LIMITED","UNITDSPR","18-Sep-2024","3"
"AMBUJA CEMENTS LTD","AMBUJACEM","18-Sep-2024","135"
"ITC LTD","ITC","18-Sep-2024","2064"
