Sr. No,Symbol,Series,Security Name,From,To
1,CMNL,SM,CHAMAN METALLICS LIMITED,10,5
2,MANAKSTEEL,EQ,MANAKSIA STEELS LIMITED,10,5
3,AERON,SM,AERON COMPOSITE LIMITED,5,20
4,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,5,2
5,IZMO,BE,IZMO LIMITED,5,2
6,KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,5,2
7,KREBSBIO,BE,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED,5,2
8,MINDTECK,BE,MINDTECK (INDIA) LIMITED,5,2
9,PARAMATRIX,SM,PARAMATRIX TECHNOLOGIES LIMITED,5,20
10,PARASPETRO,BE,PARAS PETROFILS LIMITED,5,2
11,PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,5,2
