MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AB,965IHFL25,SEC RE NCD 9.65% SR.I,       961.17,       945.00,       945.00,       945.00,       945.00,                    61425.00,65, ,1,      1063.80,       930.20
N,AV,990IHFL26I,SEC RE NCD 9.90% SR IV,      1195.00,       948.00,       949.30,       910.00,       910.00,                   168952.00,182, ,15,      1240.00,       820.30
N,AX,948IHFL26I,SEC RE NCD 9.48% SR V,      1095.00,       850.00,       876.00,       670.10,       875.33,                   474813.68,572, ,35,      1095.00,       670.10
N,AY,IBHFZC26B,SEC RE NCD SR VI,      1020.00,      1028.00,      1028.00,      1028.00,      1028.00,                   123360.00,120, ,2,      1028.00,       982.00
N,AZ,1015IHF28B,SEC RE NCD 10.15% SR VII,      1135.00,       995.00,       995.00,       933.00,       940.00,                   268117.50,283, ,24,      1135.00,       835.00
N,BC,971IHFL28I,SEC RE NCD 9.71% SR VIII,       990.00,       949.30,       949.30,       875.00,       910.77,                   724879.20,808, ,32,      1020.00,       820.00
N,BF,965IHFL25E,SEC RE NCD 9.65% SR I,      1040.00,      1042.00,      1042.00,      1042.00,      1042.00,                    10420.00,10, ,1,      1060.00,       910.20
N,BV,10IHFL30A,SEC RE NCD 9.71% SR VIII,       950.20,       990.00,       990.00,       990.00,       990.00,                    49500.00,50, ,1,       990.00,       810.85
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,       997.05,       997.25,       997.25,       994.00,       995.52,                   116505.25,117, ,5,      1002.00,       950.00
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1031.01,      1021.00,      1031.01,      1021.00,      1031.01,                    30780.15,30, ,2,      1184.40,       901.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       995.00,       999.00,       999.00,       990.00,       990.00,                    14895.00,15, ,2,      1010.00,       960.49
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1045.00,      1038.30,      1045.00,      1038.30,      1045.00,                    20833.00,20, ,2,      1045.00,       985.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1006.65,      1001.00,      1001.00,      1001.00,      1001.00,                     1001.00,1, ,1,      1006.65,       860.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       307.49,       307.90,       307.90,       307.00,       307.90,                   501223.70,1628, ,10,       316.90,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1015.00,      1016.00,      1016.10,      1015.20,      1015.84,                    25396.90,25, ,5,      1145.00,       972.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1131.60,      1132.00,      1133.00,      1132.00,      1133.00,                   555140.00,490, ,5,      1330.00,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       307.75,       307.75,       307.80,       307.00,       307.67,                   781966.70,2544, ,15,       320.00,       298.45
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1099.04,      1093.85,      1094.90,      1093.50,      1093.77,                   207837.00,190, ,7,      1209.99,      1060.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1133.90,      1132.00,      1134.50,      1132.00,      1134.50,                   408295.00,360, ,3,      1177.00,      1062.20
N,N2,9MMFSML,9.00% UNSECURED NCD,      1026.00,      1010.00,      1010.00,      1010.00,      1010.00,                    15150.00,15, ,1,      1131.00,       996.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1002.40,      1001.00,      1001.60,       999.00,       999.28,                   459083.60,459, ,9,      1002.40,       860.15
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       409.00,       409.00,       409.00,       409.00,       409.00,                   450309.00,1101, ,5,       428.46,       392.00
N,N3,935PEL33,SEC RE NCD 9.35% SR IV,      1093.00,      1024.00,      1024.00,      1024.00,      1024.00,                     1024.00,1, ,1,      1115.01,       983.00
