MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AX,948SCL26I,SEC RE NCD 9.48% SR V,       865.00,       930.00,       930.00,       900.00,       900.00,                    14640.00,16, ,2,      1095.00,       670.10
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,       899.80,       900.00,       900.00,       899.00,       899.00,                    42262.80,47, ,4,      1135.00,       804.00
N,BC,971SCL28I,SEC RE NCD 9.71% SR VIII,       880.00,       899.80,       899.80,       864.00,       868.33,                    26427.60,30, ,5,      1020.00,       820.00
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1039.92,      1040.15,      1050.00,      1040.00,      1050.00,                    38513.50,37, ,4,      1184.40,       901.00
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       898.90,       925.00,       950.00,       925.00,       950.00,                     5675.00,6, ,2,      1038.00,       815.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       995.00,       995.00,       995.00,       995.00,       995.00,                     5970.00,6, ,2,      1010.00,       960.49
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       246.50,       246.50,       250.00,       246.40,       250.00,                   211374.30,849, ,15,       260.00,       241.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1005.45,      1000.00,      1005.00,      1000.00,      1005.00,                   170476.50,170, ,3,      1006.65,       860.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       307.41,       309.50,       309.96,       307.62,       307.72,                  2562282.36,8294, ,12,       316.90,       295.00
N,N1,ABFL26,SEC RE NCD SR II,      1026.01,      1026.01,      1031.01,      1026.01,      1031.00,                    29824.25,29, ,5,      1215.00,       852.40
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       247.00,       247.00,       247.00,       246.90,       247.00,                    61498.80,249, ,4,       263.74,       240.00
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1094.30,      1094.90,      1094.90,      1094.90,      1094.90,                    54745.00,50, ,1,      1155.00,      1041.47
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1135.41,      1137.00,      1137.00,      1135.00,      1135.05,                  1176705.50,1036, ,14,      1333.20,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       307.31,       308.00,       308.00,       308.00,       308.00,                    32032.00,104, ,1,       319.87,       298.45
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1094.00,      1094.00,      1094.00,      1090.13,      1093.00,                   207537.80,190, ,5,      1209.99,      1060.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1132.43,      1132.20,      1134.90,      1132.20,      1134.90,                  1733100.30,1529, ,9,      1177.00,      1062.20
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1010.00,      1010.00,      1010.00,      1002.90,      1010.00,                   579313.40,576, ,13,      1010.00,       855.20
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       970.00,       984.00,       984.00,       984.00,       984.00,                     9840.00,10, ,1,      1009.00,       927.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1025.00,      1025.55,      1025.55,      1020.05,      1022.00,                   289513.65,283, ,8,      1131.00,       996.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       248.20,       248.20,       252.00,       248.00,       252.00,                   211229.40,842, ,6,       262.00,       240.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1001.00,      1009.00,      1009.00,      1002.00,      1002.00,                    85275.00,85, ,2,      1009.00,       860.15
