Symbol,Security,From Series,To Series,Change Date,Remarks
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED,EQ,BE,22-AUG-2024,"-"
AURUM,AURUM PROPTECH LIMITED,EQ,BE,22-AUG-2024,"-"
AURUMPP1,AURUM PROPTECH LIMITED,E1,X1,22-AUG-2024,"-"
DHTL,DOCMODE HEALTH TECHNOLOGIES LIMITED,SM,ST,22-AUG-2024,"-"
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS LIMITED,EQ,BE,22-AUG-2024,"-"
ISHAN,ISHAN INTERNATIONAL LIMITED,SM,ST,22-AUG-2024,"-"
LRRPL,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,SM,ST,22-AUG-2024,"-"
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LIMITED,EQ,BE,22-AUG-2024,"-"
SADBHIN,SADBHAV INFRASTRUCTURE PROJECT LIMITED,EQ,BE,22-AUG-2024,"GSM STAGE - 0"
TOUCHWOOD,TOUCHWOOD ENTERTAINMENT LIMITED,EQ,BE,22-AUG-2024,"-"
UTSSAV,UTSSAV CZ GOLD JEWELS LIMITED,ST,SM,22-AUG-2024,"-"
WIPL,THE WESTERN INDIA PLYWOODS LIMITED,EQ,BE,22-AUG-2024,"-"
