Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02052024,1817051987,0002484
Trade Date <02-MAY-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,14395,13895,96.53
20,2,182D010824,TB,2000,2000,100.00
20,3,182D031024,TB,700,700,100.00
20,4,182D040724,TB,100,100,100.00
20,5,182D050924,TB,18200,18100,99.45
20,6,182D060624,TB,200,200,100.00
20,7,182D090524,TB,300,300,100.00
20,8,182D110724,TB,200,200,100.00
20,9,182D111024,TB,1100,1100,100.00
20,10,182D160524,TB,100,100,100.00
20,11,182D180724,TB,2000,2000,100.00
20,12,182D190924,TB,1200,600,50.00
20,13,182D200624,TB,100,100,100.00
20,14,182D220824,TB,200,200,100.00
20,15,182D230524,TB,600,600,100.00
20,16,182D290824,TB,5500,5500,100.00
20,17,20MICRONS,EQ,102490,57404,56.01
20,18,360ONE,EQ,530029,297241,56.08
20,19,364D020125,TB,1800,1800,100.00
20,20,364D040724,TB,600,600,100.00
20,21,364D060325,TB,100,100,100.00
20,22,364D090524,TB,5500,4500,81.82
20,23,364D110425,TB,100,100,100.00
20,24,364D130225,TB,100,100,100.00
20,25,364D130325,TB,200,200,100.00
20,26,364D160125,TB,100,100,100.00
20,27,364D180425,TB,3600,3600,100.00
20,28,364D180724,TB,3500,3300,94.29
20,29,364D200225,TB,1000,1000,100.00
20,30,364D240425,TB,200,200,100.00
20,31,364D250724,TB,2900,2900,100.00
20,32,364D270225,TB,100,100,100.00
20,33,364D280624,TB,28000,28000,100.00
20,34,364D300524,TB,100,100,100.00
20,35,3IINFOLTD,EQ,892062,513424,57.55
20,36,3MINDIA,EQ,11917,9491,79.64
20,37,3PLAND,EQ,16319,9522,58.35
20,38,563GS2026,GS,161,110,68.32
20,39,574GS2026,GS,507,507,100.00
20,40,585GS2030,GS,11,11,100.00
20,41,5PAISA,EQ,68068,36928,54.25
20,42,610GS2031,GS,3,2,66.67
20,43,619GS2034,GS,2,1,50.00
20,44,63MOONS,EQ,112966,73168,64.77
20,45,654GS2032,GS,59536,55036,92.44
20,46,667GS2035,GS,1157,1157,100.00
20,47,667GS2050,GS,528,507,96.02
20,48,669GS2024,GS,118,117,99.15
20,49,676GS2061,GS,1,1,100.00
20,50,689GS2025,GS,300202,300200,100.00
20,51,695GS2061,GS,11,11,100.00
20,52,699GS2026,GS,500,500,100.00
20,53,699GS2051,GS,3,3,100.00
20,54,706GS2028,GS,17774,17774,100.00
20,55,710GS2029,GS,441256,439622,99.63
20,56,716GS2050,GS,1,1,100.00
20,57,717GS2030,GS,13793,13793,100.00
20,58,718GS2033,GS,5,5,100.00
20,59,718GS2037,GS,22906,18240,79.63
20,60,71GS2034,GS,12795,12795,100.00
20,61,723GS2039,GS,4298,4298,100.00
20,62,725GS2063,GS,272892,272892,100.00
20,63,726GS2032,GS,53450,53450,100.00
20,64,727GS2026,GS,13,12,92.31
20,65,732GS2030,GS,23400,23400,100.00
20,66,733GS2026,GS,3844,3795,98.73
20,67,734GS2064,GS,5590,5590,100.00
20,68,736GS2052,GS,21,21,100.00
20,69,737GR2054,GS,100,100,100.00
20,70,737GS2028,GS,68958,68958,100.00
20,71,738GS2027,GS,86902,76317,87.82
20,72,73GS2053,GS,56350,52350,92.90
20,73,741GS2036,GS,2900,2900,100.00
20,74,746GS2073,GS,1617,1617,100.00
20,75,748MH35,SG,100,100,100.00
20,76,749MH36,SG,1000,1000,100.00
20,77,74GJ27,SG,400,300,75.00
20,78,74GS2035,GS,5,5,100.00
20,79,74GS2062,GS,4762,4762,100.00
20,80,754GS2036,GS,1037594,986976,95.12
20,81,755GJ31,SG,100,100,100.00
20,82,757GS2033,GS,19700,19700,100.00
20,83,75GS2034,GS,210,210,100.00
20,84,762KL38,SG,900,900,100.00
20,85,772GS2049,GS,109,109,100.00
20,86,817GS2044,GS,12,12,100.00
20,87,824GS2027,GS,13,13,100.00
20,88,824GS2033,GS,100,100,100.00
20,89,828GS2027,GS,6030,6030,100.00
20,90,86GS2028,GS,300,300,100.00
20,91,91D040724,TB,3000,3000,100.00
20,92,91D060624,TB,200,200,100.00
20,93,91D090524,TB,100,100,100.00
20,94,91D120724,TB,1100,800,72.73
20,95,91D130624,TB,2200,2200,100.00
20,96,91D160524,TB,200,100,50.00
20,97,91D190724,TB,200,200,100.00
20,98,91D200624,TB,200,200,100.00
