Sr. No,Symbol,Series,Security Name,From,To
1,AKANKSHA,ST,AKANKSHA POWER AND INFRASTRUCTURE LIMITED,10,5
2,ANLON,ST,ANLON TECHNOLOGY SOLUTIONS LIMITED,10,5
3,BASILIC,ST,BASILIC FLY STUDIO LIMITED,10,5
4,BBOX,BE,BLACK BOX LIMITED,10,5
5,DCG,ST,DCG CABLES & WIRES LIMITED,10,5
6,ENFUSE,ST,ENFUSE SOLUTIONS LIMITED,10,5
7,ESSARSHPNG,BE,ESSAR SHIPPING LIMITED,10,5
8,EXICOM,BE,EXICOM TELE-SYSTEMS LIMITED,10,5
9,GEPIL,BE,GE POWER INDIA LIMITED,10,5
10,JETKNIT,ST,JET KNITWEARS LIMITED,10,5
11,JFLLIFE,ST,JFL LIFE SCIENCES LIMITED,10,5
12,KBCGLOBAL,BE,KBC GLOBAL LIMITED,10,5
13,KORE,ST,JAY JALARAM TECHNOLOGIES LIMITED,10,5
14,MOXSH,ST,MOXSH OVERSEAS EDUCON LIMITED,10,5
15,OLIL,ST,ONECLICK LOGISTICS INDIA LIMITED,10,5
16,PARAS,BE,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,10,5
17,PTCIL,BE,PTC INDUSTRIES LIMITED,10,5
18,SAAKSHI,ST,SAAKSHI MEDTECH AND PANELS LIMITED,10,5
19,SLONE,ST,SLONE INFOSYSTEMS LIMITED,10,5
20,STARTECK,BE,STARTECK FINANCE LIMITED,10,5
21,SURAJEST,BE,SURAJ ESTATE DEVELOPERS LIMITED,10,5
22,VERANDA,BE,VERANDA LEARNING SOLUTIONS LIMITED,10,5
23,VILAS,ST,VILAS TRANSCORE LIMITED,10,5
24,ACSAL,SM,ARVIND AND COMPANY SHIPPING AGENCIES LIMITED,20,10
25,ATULAUTO,BE,ATUL AUTO LIMITED,20,5
26,BIRDYS,ST,GRILL SPLENDOUR SERVICES LIMITED,20,5
27,BPL,BE,BPL LIMITED,20,5
28,CANARYS,ST,CANARYS AUTOMATIONS LIMITED,20,5
29,CTE,BE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,20,5
30,DCMNVL,BE,DCM NOUVELLE LIMITED,20,5
31,DCXINDIA,BE,DCX SYSTEMS LIMITED,20,5
32,DIGIKORE,ST,DIGIKORE STUDIOS LIMITED,20,5
33,DIGISPICE,BE,DIGISPICE TECHNOLOGIES LIMITED,20,5
34,DUCOL,ST,DUCOL ORGANICS AND COLOURS LIMITED,20,5
35,DYNPRO,BE,DYNEMIC PRODUCTS LIMITED,20,5
36,IFBAGRO,BE,IFB AGRO INDUSTRIES LIMITED,20,5
37,INFOLLION,ST,INFOLLION RESEARCH SERVICES LIMITED,20,5
38,JNKINDIA,BE,JNK INDIA LIMITED,20,5
39,KELLTONTEC,EQ,KELLTON TECH SOLUTIONS LIMITED,20,10
40,KICL,BE,KALYANI INVESTMENT COMPANY LIMITED,20,5
41,MANDEEP,ST,MANDEEP AUTO INDUSTRIES LIMITED,20,5
42,MBLINFRA,BE,MBL INFRASTRUCTURE LIMITED,20,5
43,MEGATHERM,ST,MEGATHERM INDUCTION LIMITED,20,5
44,NATHBIOGEN,BE,NATH BIO-GENES (INDIA) LIMITED,20,5
45,NBIFIN,BE,N. B. I. INDUSTRIAL FINANCE COMPANY LIMITED,20,5
46,PFOCUS,BE,PRIME FOCUS LIMITED,20,5
47,PRECOT,BE,PRECOT LIMITED,20,5
48,RULKA,ST,RULKA ELECTRICALS LIMITED,20,5
49,SOTAC,ST,SOTAC PHARMACEUTICALS LIMITED,20,5
50,SUNDARAM,BE,SUNDARAM MULTI PAP LIMITED,20,5
51,SUPREMEPWR,ST,SUPREME POWER EQUIPMENT LIMITED,20,5
52,TARC,BE,TARC LIMITED,20,5
53,VITAL,ST,VITAL CHEMTECH LIMITED,20,5
54,WOCKPHARMA,BE,WOCKHARDT LIMITED,20,5
55,AKIKO,SM,AKIKO GLOBAL SERVICES LIMITED,5,20
56,DPEL,SM,DIVINE POWER ENERGY LIMITED,5,20
57,DRCSYSTEMS,BE,DRC SYSTEMS INDIA LIMITED,5,2
58,NIRAJISPAT,EQ,NIRAJ ISPAT INDUSTRIES LIMITED,5,20
59,PCCL,SM,PETRO CARBON AND CHEMICALS LIMITED,5,20
60,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,5,2
