Sr. No,Symbol,Series,Security Name,From,To
1,SARTELE,SM,SAR TELEVENTURE LIMITED,10,5
2,SEMAC,EQ,SEMAC CONSULTANTS LIMITED,10,5
3,BBL,EQ,BHARAT BIJLEE LIMITED,20,10
4,ENSER,SM,ENSER COMMUNICATIONS LIMITED,20,10
5,FROG,SM,FROG CELLSAT LIMITED,20,10
6,HINDZINC,EQ,HINDUSTAN ZINC LIMITED,20,10
7,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,5,2
8,BANKA,BE,BANKA BIOLOO LIMITED,5,2
9,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,5,2
10,BRNL,BE,BHARAT ROAD NETWORK LIMITED,5,2
11,DUCON,BE,DUCON INFRATECHNOLOGIES LIMITED,5,2
12,GATECH,BE,GACM TECHNOLOGIES LIMITED,5,2
13,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,5,2
14,GOYALALUM,BE,GOYAL ALUMINIUMS LIMITED,5,2
15,GTL,BE,GTL LIMITED,5,2
16,ICDSLTD,BE,ICDS LIMITED,5,2
17,LCCINFOTEC,BE,LCC INFOTECH LIMITED,5,2
18,MALUPAPER,BE,MALU PAPER MILLS LIMITED,5,2
19,MANAKSTEEL,BE,MANAKSIA STEELS LIMITED,5,2
20,MKPL,BE,M K PROTEINS LIMITED,5,2
21,MOKSH,BE,MOKSH ORNAMENTS LIMITED,5,2
22,NARMADA,BE,NARMADA AGROBASE LIMITED,5,2
23,NITIRAJ,BE,NITIRAJ ENGINEERS LIMITED,5,2
24,PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,5,2
25,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,5,2
26,SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,5,2
27,TIL,BZ,TIL LIMITED,5,2
28,TVVISION,BE,TV VISION LIMITED,5,2
29,VASWANI,BE,VASWANI INDUSTRIES LIMITED,5,2
30,VIVIDHA,BE,VISAGAR POLYTEX LIMITED,5,2
