Sr. No,Symbol,Series,Security Name,From,To
1,OWAIS,SM,OWAIS METAL AND MINERAL PROCESSING LIMITED,10,5
2,SHYAMTEL,EQ,SHYAM TELECOM LIMITED,10,5
3,CCHHL,BE,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,2,5
4,DOLPHIN,BE,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,2,5
5,KRITIKA,BE,KRITIKA WIRES LIMITED,2,5
6,OMAXAUTO,BE,OMAX AUTOS LIMITED,2,5
7,PRAENG,BE,PRAJAY ENGINEERS SYNDICATE LIMITED,2,5
8,RHL,BE,ROBUST HOTELS LIMITED,2,5
9,RKDL,BE,RAVI KUMAR DISTILLERIES LIMITED,2,5
10,RSSOFTWARE,BE,R. S. SOFTWARE (INDIA) LIMITED,2,5
11,SUPERSPIN,BE,SUPER SPINNING MILLS LIMITED,2,5
12,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,2,5
13,UMAEXPORTS,BE,UMA EXPORTS LIMITED,2,5
14,GRAPHISAD,SM,GRAPHISADS LIMITED,20,10
15,HITECHGEAR,EQ,THE HI-TECH GEARS LIMITED,20,10
16,TIMETECHNO,EQ,TIME TECHNOPLAST LIMITED,20,10
17,AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,5,10
18,ASIANHOTNR,BE,ASIAN HOTELS (NORTH) LIMITED,5,2
19,DNAMEDIA,BE,DILIGENT MEDIA CORPORATION LIMITED,5,2
20,EIMCOELECO,EQ,EIMCO ELECON (INDIA) LIMITED,5,10
21,EMKAY,EQ,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,5,20
22,NILASPACES,EQ,NILA SPACES LIMITED,5,10
23,PRECOT,BE,PRECOT LIMITED,5,2
24,SADBHAV,EQ,SADBHAV ENGINEERING LIMITED,5,10
25,SALSTEEL,BE,S.A.L. STEEL LIMITED,5,2
26,SHAH,EQ,SHAH METACORP LIMITED,5,10
27,SHREEKARNI,SM,SHREE KARNI FABCOM LIMITED,5,20
28,SIKKO,EQ,SIKKO INDUSTRIES LIMITED,5,10
