"Security Name","Symbol Name","Trade Date","Quantity"
"HINDUSTAN COPPER LIMITED","HINDCOPPER","01-Apr-2024","21200"
"INDRAPRASTHA GAS LTD","IGL","01-Apr-2024","1375"
