Sr. No,Symbol,Series,Security Name,From,To
1,AMBICAAGAR,EQ,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,10,5
2,INDOTHAI,EQ,INDO THAI SECURITIES LIMITED,10,5
3,PRITIKAUTO,EQ,PRITIKA AUTO INDUSTRIES LIMITED,10,5
4,TAC,SM,TAC INFOSEC LIMITED,10,5
5,LYPSAGEMS,EQ,LYPSA GEMS & JEWELLERY LIMITED,20,10
6,VISHNUINFR,SM,VISHNUSURYA PROJECTS AND INFRA LIMITED,20,10
7,DHARIWAL,SM,DHARIWALCORP LIMITED,5,20
8,DICIND,BE,DIC INDIA LIMITED,5,2
9,SHRENIK,BE,SHRENIK LIMITED,5,2
10,TECILCHEM,BE,TECIL CHEMICALS AND HYDRO POWER LIMITED,5,2
11,WEWIN,BE,WE WIN LIMITED,5,2
