1,AARTIPHARM,INE0LRU01027,666.4,20
2,DEEPAKNTR,INE288B01029,2951.1,20
3,TVSSCS,INE395N01027,195.34,20
4,NFL,INE870D01012,142.7,23.7
5,MARUTI,INE585B01010,12276.35,9
6,RAJESHEXPO,INE343B01030,298.3,20
7,BLUESTARCO,INE472A01039,1746.5,20
8,SGBJAN29IX,IN0020200377,7559.56,10
9,ITI,INE248A01017,302.85,23.02
10,BECTORFOOD,INE495P01012,1525.95,20
11,SGBMAR25,IN0020160126,7424.99,10
12,INDIAGLYCO,INE560A01015,1293.2,20
13,PGEL,INE457L01029,555.55,21.42
14,SGBSEP27,IN0020190115,7470,10
15,SGBNOV25VI,IN0020170083,7449.99,10
16,RECLTD,INE020B01018,595.35,21.24
17,SGBAUG27,IN0020190107,7510.73,10
18,SGBMAY26,IN0020180033,7450,10
19,FLUOROCHEM,INE09N301011,3192.8,20
20,PAGEIND,INE761H01022,42176.4,20
21,EICHERMOT,INE066A01021,4933.55,9.96
22,GUJALKALI,INE186A01019,776.35,20
23,NMDC,INE584A01023,226.34,20
24,KIRLOSENG,INE146L01010,1327.4,20
25,MOIL,INE490G01020,400.95,21.32
26,ANANTRAJ,INE242C01024,585.25,20
27,TIINDIA,INE974X01010,4137.8,20
28,CHAMBLFERT,INE085A01013,522.1,20
29,SGBNOV25,IN0020170091,7400,10
30,RCF,INE027A01015,202.69,22.7
31,NCC,INE868B01028,320.95,20.96
32,STOVEKRAFT,INE00IN01015,764.8,20
33,VENUSPIPES,INE0JA001018,2267.9,20
34,TITAN,INE280A01028,3604.4,9.21
35,BASF,INE373A01013,6821.65,20
36,NIFTYIETF,INF109K012R6,275.52,6
37,HDFCBANK,INE040A01034,1631.3,9
38,HINDALCO,INE038A01020,685.55,12.96
39,LIQUIDBEES,INF732E01037,1000,5
40,POWERINDIA,INE07Y701011,12049.95,20
41,TATACONSUM,INE192A01025,1205.8,9.03
42,SUBEXLTD,INE754A01055,31.03,21.75
43,SGBMAR30X,IN0020210319,7784.23,10
44,TANLA,INE483C01032,916,20
45,TORNTPHARM,INE685A01028,3362.6,20
46,YESBANK,INE528G01035,24.58,20
47,COLPAL,INE259A01022,3605.15,20
48,NRBBEARING,INE349A01021,315.9,20
49,ROSSARI,INE02A801020,907,20
50,SGBJUN30,IN0020220045,7824.11,10
51,SHRIRAMPPS,INE217L01019,126.69,20.57
52,SGBOCT25IV,IN0020170067,7574.53,10
53,DMART,INE192R01011,5057.85,20
54,SULA,INE142Q01026,483.3,20
55,ABSLLIQUID,INF209KB18T9,1000.01,5
56,INDUSTOWER,INE121J01017,434.9,20
57,RICOAUTO,INE209B01025,122.63,22.82
58,UCOBANK,INE691A01018,52.5,20.41
59,DOMS,INE321T01012,2428.35,20
60,JUNIORBEES,INF732E01045,796.83,6.28
61,KFINTECH,INE138Y01010,1015.9,20
62,FORTIS,INE061F01013,531,20
63,BERGEPAINT,INE463A01038,582.05,20
64,OIL,INE274J01014,681.15,20
65,ITC,INE154A01025,504.55,9
66,EMAMILTD,INE548C01032,809.7,20
67,EBBETF0431,INF754K01LE1,1247.13,20
68,IMFA,INE919H01018,698.05,20.02
69,3MINDIA,INE470A01017,35325.65,20
70,CONFIPET,INE552D01024,84.87,20
71,GUJGASLTD,INE844O01030,595.4,20
72,SETF10GILT,INF200KA1JT1,237.32,10
73,WHIRLPOOL,INE716A01013,2059.55,20
74,SOTL,INE035D01020,605.2,20
75,LTF,INE498L01015,168.92,20
76,VTL,INE825A01020,484,20
77,ICICIB22,INF109KB15Y7,117.47,20
78,JYOTHYLAB,INE668F01031,570.15,20
79,INDIANB,INE562A01011,552.8,20
80,MANKIND,INE634S01028,2319.6,20
81,GMDCLTD,INE131A01031,371,22.38
82,ASTRAL,INE006I01046,1955.95,20
83,SONACOMS,INE073K01018,689.95,20
84,HAVELLS,INE176B01034,1895.65,20
85,INTELLECT,INE306R01017,982.2,20
86,SAFARI,INE429E01023,2362.9,20
87,PFIZER,INE182A01018,5921.45,20
88,MCX,INE745G01035,4778.85,20
89,DRREDDY,INE089A01023,6969.05,9
90,ARVIND,INE034A01011,405.2,20
91,DCBBANK,INE503A01015,123.52,20
92,RRKABEL,INE777K01022,1631,20
93,JSWINFRA,INE880J01026,312.7,20
94,BIOCON,INE376G01013,356.5,20
95,BIRLACORPN,INE340A01012,1326.95,20
96,DCXINDIA,INE0KL801015,345.9,100
97,ANDHRAPAP,INE435A01028,556.2,20
98,PIIND,INE603J01030,4428.05,20
99,INDUSINDBK,INE095A01012,1381.9,11.24
100,TATAPOWER,INE245A01021,422.95,20
101,BRITANNIA,INE216A01030,5836.8,9
102,IOLCP,INE485C01011,466.6,20
103,SGBNOV258,IN0020170109,7400,10
104,SGBOCT27VI,IN0020190388,7430.01,10
105,BPCL,INE029A01011,350.1,13.47
106,SGBDE30III,IN0020220110,7848.66,10
107,ABB,INE117A01022,7859.55,20
108,APTUS,INE852O01025,315.85,20
109,GOLDBEES,INF204KB17I5,60.45,20
110,SGBSEP24,IN0020160043,7244.81,10
111,CEATLTD,INE482A01020,2865.05,20
112,NSLNISP,INE0NNS01018,55.17,20
113,SGBOCT25V,IN0020170075,7350.6,10
114,MRF,INE883A01011,139614.55,20
115,SGBJUN28,IN0020200104,7510,10
116,SYNGENE,INE398R01022,842.05,20
117,INOXINDIA,INE616N01034,1202.25,20
118,ACC,INE012A01025,2348.6,20
119,GRINDWELL,INE536A01023,2469.1,20
120,SHREECEM,INE070A01015,25012.4,20
121,PHARMABEES,INF204KC1089,23.03,20
122,CLEAN,INE227W01023,1563.25,20
123,HCLTECH,INE860A01027,1676.15,9
124,JUBLPHARMA,INE700A01033,893.55,20
125,TIMKEN,INE325A01013,3705.2,20
126,SGBMAR28X,IN0020190552,7520,10
127,SGBSEP31II,IN0020230093,7828.71,10
128,SBFC,INE423Y01016,86.6,20
129,ARE&M,INE885A01032,1548.25,20
130,NIITLTD,INE161A01038,119.08,20
131,ADANIENSOL,INE931S01010,1077.75,23.41
132,KAYNES,INE918Z01012,5024.3,20.06
133,STARCEMENT,INE460H01021,225.23,20
134,SGBJUL25,IN0020170034,7380.4,10
135,TI,INE133E01013,245.05,20
136,EXIDEIND,INE302A01020,512.4,20
137,THERMAX,INE152A01029,4568.7,20
138,GOKEX,INE887G01027,927.6,20
139,GILLETTE,INE322A01010,8338.3,20
140,DHAMPURSUG,INE041A01016,207.76,20
141,MOTILALOFS,INE338I01027,702.5,20
142,ZAGGLE,INE07K301024,367.75,20
143,SGBOCT27,IN0020190370,7450,10
144,JSWSTEEL,INE019A01038,933.25,11.04
145,TDPOWERSYS,INE419M01027,426.25,20
146,BAJAJHLDNG,INE118A01012,9880.9,20
147,TTML,INE517B01013,95.48,21.33
148,IDEAFORGE,INE349Y01013,714.5,20
149,M&MFIN,INE774D01024,313.7,20
150,KNRCON,INE634I01029,343.35,20
151,RAIN,INE855B01025,163.91,20
152,IRFC,INE053F01010,181.44,22.35
153,STYLAMIND,INE239C01020,1951.4,20
154,WIPRO,INE075A01022,519,10.73
155,JTLIND,INE391J01024,222.06,20
156,TATATECH,INE142M01025,1007.2,20
157,ATUL,INE100A01010,7912.7,20
158,GMRINFRA,INE776C01039,95.01,20
159,NIACL,INE470Y01017,268.6,24.2
160,DIVISLAB,INE361B01024,4911.45,10.32
161,ASTERDM,INE914M01019,401.3,20
162,SENCO,INE602W01019,1097.05,20
163,SHARDACROP,INE221J01015,588,20
164,CENTURYTEX,INE055A01016,2335.35,20
165,SGBAPR28I,IN0020200062,7585.03,10
166,ABSLAMC,INE404A01024,748.95,20
167,AARTIDRUGS,INE767A01016,564.05,20
168,BANKBEES,INF204KB15I9,522.84,20
169,IDFC,INE043D01016,113.03,20
170,SGBAUG29V,IN0020210129,7610.33,10
171,TCIEXP,INE586V01016,1074.15,20
172,HAPPYFORGE,INE330T01021,1223.55,20
173,TRENT,INE849A01020,6989.8,20
174,EBBETF0430,INF754K01KO2,1388.58,20
175,MFSL,INE180A01020,1057.85,20
176,BANSALWIRE,INE0B9K01025,352.45,20
177,FINCABLES,INE235A01022,1454.95,20
178,PVRINOX,INE191H01014,1515.15,20
179,TATACHEM,INE092A01019,1085.45,20
180,KAJARIACER,INE217B01036,1349.3,20
181,SILVERBEES,INF204KC1402,82.9,20
182,APLLTD,INE901L01018,1117.6,20
183,CAPLIPOINT,INE475E01026,1774.3,20
184,SGBNV29VII,IN0020210178,7521.41,10
185,POLYCAB,INE455K01017,6832,20
186,BSOFT,INE836A01035,601.65,20
187,AJANTPHARM,INE031B01049,3123.1,20
188,ACI,INE128X01021,821,20
189,HONAUT,INE671A01010,52212.55,20
190,SIEMENS,INE003A01024,7056.05,20
