"Security Name","Symbol Name","Trade Date","Quantity"
"FACT LTD","FACT","20-Jun-2024","3026"
"PAGE INDUSTRIES LTD","PAGEIND","20-Jun-2024","465"
"NATIONAL FERT. LTD","NFL","20-Jun-2024","900"
