Sr. No,Symbol,Series,Security Name,From,To
1,KAPSTON,BE,KAPSTON SERVICES LIMITED,10,5
2,FACT,EQ,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,20,10
3,K2INFRA,SM,K2 INFRAGEN LIMITED,20,10
4,SONAMAC,SM,SONA MACHINERY LIMITED,20,10
5,TERASOFT,BE,TERA SOFTWARE LIMITED,20,5
6,VILAS,SM,VILAS TRANSCORE LIMITED,20,10
7,AIMTRON,SM,AIMTRON ELECTRONICS LIMITED,5,10
8,DELPHIFX,BE,DELPHI WORLD MONEY LIMITED,5,2
9,DIGIDRIVE,BE,DIGIDRIVE DISTRIBUTORS LIMITED,5,2
10,OMAXAUTO,BE,OMAX AUTOS LIMITED,5,2
11,THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,5,2
