Sr. No,Symbol,Series,Security Name,From,To
1,HBSL,BE,HB STOCKHOLDINGS LIMITED,10,5
2,KHAITANLTD,EQ,KHAITAN (INDIA) LIMITED,10,5
3,LIBERTSHOE,EQ,LIBERTY SHOES LIMITED,10,5
4,NEPHROCARE,SM,NEPHRO CARE INDIA LIMITED,10,5
5,SUVIDHAA,EQ,SUVIDHAA INFOSERVE LIMITED,10,5
6,RHL,EQ,ROBUST HOTELS LIMITED,20,10
7,SILKFLEX,SM,SILKFLEX POLYMERS (INDIA) LIMITED,20,10
8,GLOBE,BE,GLOBE TEXTILES (INDIA) LIMITED,5,2
9,KAUSHALYA,BE,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,5,2
10,VSTL,BE,VIBHOR STEEL TUBES LIMITED,5,2
