Sr. No,Symbol,Series,Security Name,From,To
1,AMEYA,SM,AMEYA PRECISION ENGINEERS LIMITED,10,5
2,KDL,SM,KORE DIGITAL LIMITED,10,5
3,KSHITIJPOL,EQ,KSHITIJ POLYLINE LIMITED,10,5
4,PANACHE,BE,PANACHE DIGILIFE LIMITED,10,5
5,CROWN,BE,CROWN LIFTERS LIMITED,2,5
6,NILASPACES,BE,NILA SPACES LIMITED,2,5
7,TECHIN,BE,TECHINDIA NIRMAN LIMITED,2,5
8,VIPULLTD,BE,VIPUL LIMITED,2,5
9,AVPINFRA,SM,AVP INFRACON LIMITED,20,10
10,DRCSYSTEMS,EQ,DRC SYSTEMS INDIA LIMITED,20,10
11,KAYA,EQ,KAYA LIMITED,20,10
12,PTCIL,EQ,PTC INDUSTRIES LIMITED,20,10
13,ESSEN-RE2,BE,INTEGRA ESSEN LTD-RE,40,20
14,CREATIVEYE,BE,CREATIVE EYE LIMITED,5,2
15,DJML,BE,DJ MEDIAPRINT & LOGISTICS LIMITED,5,2
16,LORDSCHLO,BE,LORDS CHLORO ALKALI LIMITED,5,2
17,NITCO,EQ,NITCO LIMITED,5,10
18,PARASPETRO,BE,PARAS PETROFILS LIMITED,5,2
19,PRAENG,EQ,PRAJAY ENGINEERS SYNDICATE LIMITED,5,10
20,SCHNEIDER,EQ,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,5,20
21,S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,5,2
22,STARTECK,EQ,STARTECK FINANCE LIMITED,5,20
23,VILAS,SM,VILAS TRANSCORE LIMITED,5,20
