1,AARTIPHARM,INE0LRU01027,626.75,20
2,HEALTHIETF,INF109KC1Q72,134.32,20
3,JLHL,INE682M01012,1310.7,20
4,DPSCLTD,INE360C01024,20.92,22.89
5,PONNIERODE,INE838E01017,552.8,20
6,DEEPAKNTR,INE288B01029,2830.3,20
7,THANGAMAYL,INE085J01014,1766.4,20
8,NAVNETEDUL,INE060A01024,154.04,20
9,TVSSCS,INE395N01027,190.98,20
10,RELINFRA,INE036A01016,188,25.86
11,NFL,INE870D01012,150.44,23.63
12,PROZONER,INE195N01013,30.84,23.13
13,JAYAGROGN,INE785A01026,309.2,20
14,MARUTI,INE585B01010,12644.05,9
15,SWANENERGY,INE665A01038,709.75,22.25
16,ALBERTDAVD,INE155C01010,1254.9,20
17,ASAHISONG,INE228I01012,419.8,20
18,KMSUGAR,INE157H01023,42.38,100
19,ASHIMASYN,INE440A01010,42.49,28.67
20,SIGIND,INE529F01035,81.09,22.61
21,ESG,INF769K01GS9,41.59,20
22,YUKEN,INE384C01016,1405.65,21.57
23,RAJESHEXPO,INE343B01030,309.95,20
24,IGPL,INE204A01010,593.4,20
25,BLUESTARCO,INE472A01039,1695.6,20
26,SGBJAN29IX,IN0020200377,7845.36,10
27,ITI,INE248A01017,303.35,23.89
28,RUSTOMJEE,INE263M01029,711.35,20
29,BECTORFOOD,INE495P01012,1471.7,20
30,SGBMAR25,IN0020160126,7979.71,10
31,MOVALUE,INF247L01BE5,109.63,20
32,INDIAGLYCO,INE560A01015,1008.1,20
33,MIDQ50ADD,INF740KA1QL0,253.49,20
34,TRIGYN,INE948A01012,137.89,100
35,PGEL,INE457L01029,356.95,20
36,VSTTILLERS,INE764D01017,4054.85,20
37,SGBSEP27,IN0020190115,7797.84,10
38,SGBNOV25VI,IN0020170083,7507,10
39,RECLTD,INE020B01018,610.05,21.87
40,AXISCETF,INF846K016C7,117.65,20
41,IDFNIFTYET,INF194KA1U07,267.34,7.94
42,SGBAUG27,IN0020190107,7830,10
43,VERANDA,INE0IQ001011,281.77,100
44,PASUPTAC,INE818B01023,40.27,20
45,CENTRUM,INE660C01027,37.37,23.26
46,UCAL,INE139B01016,168.03,20
47,SGBMAY26,IN0020180033,7749.85,10
48,BLUEJET,INE0KBH01020,412.85,20
49,FLUOROCHEM,INE09N301011,3262.6,20
50,DHUNINV,INE320L01011,1314.5,21.88
51,GSEC10IETF,INF109KC18O0,233.29,10
52,STARPAPER,INE733A01018,256.35,20
53,GOLDCASE,INF0R8F01042,11.87,20
54,CHEMPLASTS,INE488A01050,532.35,20
55,PAGEIND,INE761H01022,40143.05,20
56,GOKULAGRO,INE314T01025,171.98,20
57,RUSHIL,INE573K01017,343.4,20
58,EICHERMOT,INE066A01021,4941.1,9.79
59,VISHNU,INE270I01022,431.55,20
60,GUJALKALI,INE186A01019,771.2,20
61,NMDC,INE584A01023,241.9,20
62,KIRLOSENG,INE146L01010,1292.1,20
63,DHANI,INE274G01010,57.37,24.58
64,PNC,INE392B01011,72.05,23.58
65,MOIL,INE490G01020,508.85,21.99
66,NIFMID150,INF789F1AYX9,213.37,9.65
67,ANANTRAJ,INE242C01024,479.05,20
68,CREATIVE,INE985W01018,749.95,20.85
69,TIINDIA,INE974X01010,4093.2,20
70,SENSEXIETF,INF346A01034,912.54,7.53
71,CHAMBLFERT,INE085A01013,511.65,20
72,PLASTIBLEN,INE083C01022,311.95,20
73,KIRLPNU,INE811A01020,1355.05,20
74,INFRAIETF,INF109KC16E5,95.47,20
75,SGBNOV25,IN0020170091,7526.07,10
76,RUCHIRA,INE803H01014,142.03,20
77,TRU,INE615R01029,47.61,23.72
78,JSWHL,INE824G01012,6993.15,20
79,HSCL,INE019C01026,414.35,20
80,RCF,INE027A01015,224.52,22.34
81,COMMOIETF,INF109KC19O8,94.61,20
82,NATHBIOGEN,INE448G01010,235.44,100
83,SANDHAR,INE278H01035,594.7,20
84,NCC,INE868B01028,317.45,21.12
85,KECL,INE134B01017,246.33,27.14
86,LORDSCHLO,INE846D01012,124,100
87,STOVEKRAFT,INE00IN01015,598.8,20
88,MEDICAMEQ,INE646B01010,468.05,20.17
89,AXISHCETF,INF846K01Z12,133.85,20
90,VENUSPIPES,INE0JA001018,2156.3,20
91,TITAN,INE280A01028,3262.1,9
92,IFGLEXPOR,INE133Y01011,633.35,21.35
93,BASF,INE373A01013,5521.4,20
94,TV18BRDCST,INE886H01027,41.99,20
95,SIL,INE173A01025,27.25,20
96,DJML,INE0B1K01014,338.9,100
97,NIFTYIETF,INF109K012R6,274.11,6
98,NAHARCAP,INE049I01012,322.4,20
99,HDFCBANK,INE040A01034,1614.8,9
100,HINDALCO,INE038A01020,689.95,12.74
101,LIQUIDBEES,INF732E01037,1000,10
102,JPOLYINVST,INE147P01019,911.6,21.59
103,ATAM,INE09KD01013,183.9,20
104,POWERINDIA,INE07Y701011,11828.55,20
105,TATACONSUM,INE192A01025,1193.4,9.03
106,SUBEXLTD,INE754A01055,31.26,22.15
107,VHL,INE701A01023,4279.3,20
108,MEDICO,INE630Y01024,38,100
109,MIDSELIETF,INF109KC10W0,17.66,9.17
110,MOMOMENTUM,INF247L01BK2,72.65,20
111,SGBMAR30X,IN0020210319,7943.33,10
112,YATRA,INE0JR601024,125.19,20
113,TATVA,INE0GK401011,1119.55,20
114,TANLA,INE483C01032,993.05,20
115,NPBET,INF277K010X4,268.16,20
116,TORNTPHARM,INE685A01028,3058.3,20
117,ARMANFIN,INE109C01017,2001.35,20
118,INOXGREEN,INE510W01014,165.73,20.92
119,YESBANK,INE528G01035,25.75,20
120,ASAL,INE900C01027,948.35,24.99
121,MAHEPC,INE215D01010,152.4,100
122,COLPAL,INE259A01022,3121.4,20
123,NRBBEARING,INE349A01021,323.8,20
124,ROSSARI,INE02A801020,814.55,20
125,SGBJUN30,IN0020220045,8018.82,10
126,SHRIRAMPPS,INE217L01019,103.24,20
127,URAVI,INE568Z01015,629.2,20.83
128,SGBOCT25IV,IN0020170067,7640,10
