Sr. No,Symbol,Series,Security Name,From,To
1,GSTL,SM,GLOBESECURE TECHNOLOGIES LIMITED,10,5
2,IEL,EQ,INDIABULLS ENTERPRISES LIMITED,10,5
3,AJMERA,BE,AJMERA REALTY & INFRA INDIA LIMITED,20,5
4,BASML,EQ,BANNARI AMMAN SPINNING MILLS LIMITED,20,10
5,SHIVAMAUTO,EQ,SHIVAM AUTOTECH LIMITED,20,10
6,BYKE,BE,THE BYKE HOSPITALITY LTD,5,2
7,ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,5,2
8,FLEXITUFF,BE,FLEXITUFF VENTURES INTERNATIONAL LIMITED,5,2
9,MKPL,BE,M K PROTEINS LIMITED,5,2
10,SAHAJSOLAR,SM,SAHAJ SOLAR LIMITED,5,20
