Sr. No,Symbol,Series,Security Name,From,To
1,3PLAND,EQ,3P LAND HOLDINGS LIMITED,10,20
2,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,10,20
3,ABINFRA,SM,A B INFRABUILD LIMITED,10,20
4,ABSLAMC,EQ,ADITYA BIRLA SUN LIFE AMC LIMITED,10,20
5,ABSMARINE,SM,ABS MARINE SERVICES LIMITED,10,20
6,ADSL,EQ,ALLIED DIGITAL SERVICES LIMITED,10,20
7,AGSTRA,EQ,AGS TRANSACT TECHNOLOGIES LIMITED,10,20
8,AIRAN,EQ,AIRAN LIMITED,10,20
9,AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED,10,20
10,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,10,20
11,ARCHIES,EQ,ARCHIES LIMITED,10,20
12,ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,10,20
13,ARTNIRMAN,EQ,ART NIRMAN LIMITED,10,20
14,AURUM,EQ,AURUM PROPTECH LIMITED,10,20
15,AURUMPP1,E1,AURUM PROPTECH LIMITED,10,20
16,AVANTEL,EQ,AVANTEL LIMITED,10,20
17,AVPINFRA,SM,AVP INFRACON LIMITED,10,20
18,BAJEL,EQ,BAJEL PROJECTS LIMITED,10,20
19,BALAJITELE,EQ,BALAJI TELEFILMS LIMITED,10,20
20,BALAXI,EQ,BALAXI PHARMACEUTICALS LIMITED,10,20
21,BANG,EQ,BANG OVERSEAS LIMITED,10,20
22,BCONCEPTS,EQ,BRAND CONCEPTS LIMITED,10,20
23,BDL,EQ,BHARAT DYNAMICS LIMITED,10,20
24,BVCL,EQ,BARAK VALLEY CEMENTS LIMITED,10,20
25,CELLO,EQ,CELLO WORLD LIMITED,10,20
26,CMNL,SM,CHAMAN METALLICS LIMITED,10,20
27,CRAYONS,SM,CRAYONS ADVERTISING LIMITED,10,20
28,DBCORP,EQ,D.B.CORP LIMITED,10,20
29,DELAPLEX,SM,DELAPLEX LIMITED,10,20
30,DSSL,EQ,DYNACONS SYSTEMS & SOLUTIONS LIMITED,10,20
31,DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,10,20
32,EMAMIREAL,EQ,EMAMI REALTY LIMITED,10,20
33,EMIL,EQ,ELECTRONICS MART INDIA LIMITED,10,20
34,FACT,EQ,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,10,20
35,FCSSOFT,EQ,FCS SOFTWARE SOLUTIONS LIMITED,10,20
36,GMBREW,EQ,GM BREWERIES LIMITED,10,20
37,GUJAPOLLO,EQ,GUJARAT APOLLO INDUSTRIES LIMITED,10,20
38,ICEMAKE,EQ,ICE MAKE REFRIGERATION LIMITED,10,20
39,IEML,SM,INDIAN EMULSIFIERS LIMITED,10,20
40,IFBIND,EQ,IFB INDUSTRIES LIMITED,10,20
41,INCREDIBLE,EQ,INCREDIBLE INDUSTRIES LIMITED,10,20
42,INOXGREEN,EQ,INOX GREEN ENERGY SERVICES LIMITED,10,20
43,INVENTURE,EQ,INVENTURE GROWTH & SECURITIES LIMITED,10,20
44,JALAN,SM,JALAN TRANSOLUTIONS (INDIA) LIMITED,10,20
45,JCHAC,EQ,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,10,20
46,KANANIIND,EQ,KANANI INDUSTRIES LIMITED,10,20
47,KARNIKA,SM,KARNIKA INDUSTRIES LIMITED,10,20
48,KCP,EQ,KCP LIMITED,10,20
49,KILITCH,EQ,KILITCH DRUGS (INDIA) LIMITED,10,20
50,LAL,EQ,LORENZINI APPARELS LIMITED,10,20
51,LANCORHOL,EQ,LANCOR HOLDINGS LIMITED,10,20
52,LASA,EQ,LASA SUPERGENERICS LIMITED,10,20
53,LYPSAGEMS,EQ,LYPSA GEMS & JEWELLERY LIMITED,10,20
54,MANUGRAPH,EQ,MANUGRAPH INDIA LIMITED,10,20
55,MAZDOCK,EQ,MAZAGON DOCK SHIPBUILDERS LIMITED,10,20
56,MDL,SM,MARVEL DECOR LIMITED,10,20
57,MIRZAINT,EQ,MIRZA INTERNATIONAL LIMITED,10,20
58,MITCON,EQ,MITCON CONSULTANCY & ENGINEERING SERVICES LIMITED,10,20
59,MOKSH,EQ,MOKSH ORNAMENTS LIMITED,10,20
60,MOTISONS,EQ,MOTISONS JEWELLERS LIMITED,10,20
61,MUFIN,EQ,MUFIN GREEN FINANCE LIMITED,10,20
62,MUKTAARTS,EQ,MUKTA ARTS LIMITED,10,20
63,NAGREEKEXP,EQ,NAGREEKA EXPORTS LIMITED,10,20
64,NAHARPOLY,EQ,NAHAR POLY FILMS LIMITED,10,20
65,NAMAN,SM,NAMAN IN-STORE (INDIA) LIMITED,10,20
66,NETWORK18,EQ,NETWORK18 MEDIA & INVESTMENTS LIMITED,10,20
67,NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,10,20
68,NIRAJ,EQ,NIRAJ CEMENT STRUCTURALS LIMITED,10,20
69,OMFURN,SM,OMFURN INDIA LIMITED,10,5
70,OSWALAGRO,EQ,OSWAL AGRO MILLS LIMITED,10,20
71,PAISALO,EQ,PAISALO DIGITAL LIMITED,10,20
72,PAVNAIND,EQ,PAVNA INDUSTRIES LIMITED,10,20
73,PAYTM,EQ,ONE 97 COMMUNICATIONS LIMITED,10,20
74,PIONEEREMB,EQ,PIONEER EMBROIDERIES LIMITED,10,20
75,PRLIND,SM,PREMIER ROADLINES LIMITED,10,20
76,RAJMET,EQ,RAJNANDINI METAL LIMITED,10,20
77,RAMANEWS,EQ,SHREE RAMA NEWSPRINT LIMITED,10,20
78,RANEENGINE,EQ,RANE ENGINE VALVE LIMITED,10,20
79,RMDRIP,SM,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,10,20
80,ROCKINGDCE,SM,ROCKINGDEALS CIRCULAR ECONOMY LIMITED,10,20
81,RUCHINFRA,EQ,RUCHI INFRASTRUCTURE LIMITED,10,20
82,RVHL,EQ,RAVINDER HEIGHTS LIMITED,10,20
83,RVNL,EQ,RAIL VIKAS NIGAM LIMITED,10,20
84,SANDUMA,EQ,SANDUR MANGANESE & IRON ORES LIMITED,10,20
85,SANGHIIND,EQ,SANGHI INDUSTRIES LIMITED,10,20
86,SANGINITA,EQ,SANGINITA CHEMICALS LIMITED,10,20
87,SCPL,EQ,SHEETAL COOL PRODUCTS LIMITED,10,20
88,SELMC,EQ,SEL MANUFACTURING COMPANY LIMITED,10,20
89,SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,10,20
90,SHIVATEX,EQ,SHIVA TEXYARN LIMITED,10,20
91,SMLT,EQ,SARTHAK METALS LIMITED,10,20
92,SONAMAC,SM,SONA MACHINERY LIMITED,10,20
93,SONAMLTD,EQ,SONAM LIMITED,10,20
94,SPARC,EQ,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,10,20
95,SPECTSTM,SM,SPECTRUM TALENT MANAGEMENT LIMITED,10,20
96,SURANI,SM,SURANI STEEL TUBES LIMITED,10,20
97,SVLL,EQ,SHREE VASU LOGISTICS LIMITED,10,20
