Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07082024,1582027969,0002528
Trade Date <07-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,138,871REC28,N9,107,105,98.13
20,139,873NTPC28,N5,5,5,100.00
20,140,875IIFL26,NM,155,155,100.00
20,141,875IIFL26A,NQ,120,120,100.00
20,142,875NHAI29,N6,2392,1931,80.73
20,143,876HUDCO28,ND,1213,1213,100.00
20,144,885SCL26,N9,1,1,100.00
20,145,888IRFC29,NE,380,330,86.84
20,146,888REC29,NF,350,350,100.00
20,147,888SCL25E,N4,40,30,75.00
20,148,889SCL26,NS,45,45,100.00
20,149,88SCFL25,YZ,2,2,100.00
20,150,890ICCL23A,NZ,10,10,100.00
20,151,891IIFCL34,N4,312,310,99.36
20,152,892PFCL33,N8,210,210,100.00
20,153,893NHB29,N6,287,287,100.00
20,154,8ABFL26,N0,22,22,100.00
20,155,901HUDCO34,NE,20,20,100.00
20,156,901NHB34,N6,72,72,100.00
20,157,903SFL28,YI,2150,2000,93.02
20,158,905LTF27,NF,6,6,100.00
20,159,905SC24B,Z9,100,100,100.00
20,160,910TCAP28,NA,210,160,76.19
20,161,915SCL26,NE,34,34,100.00
20,162,91D031024,TB,300,300,100.00
20,163,91D050924,TB,5300,5300,100.00
20,164,91D101024,TB,200,200,100.00
20,165,91D120924,TB,5600,5600,100.00
20,166,91D150824,TB,100,100,100.00
20,167,91D190924,TB,1900,1900,100.00
20,168,91D260924,TB,400,400,100.00
20,169,91D311024,TB,100,100,100.00
20,170,91MOFSL27,N2,65,65,100.00
20,171,920IIFLS26,N8,60,60,100.00
20,172,925CAGL26,N9,300,300,100.00
20,173,925ERFL28,N6,20,20,100.00
20,174,925SCL25B,Y3,1,1,100.00
20,175,92GS2030,GS,1610,1610,100.00
20,176,930SFL28,YP,2312,2000,86.51
20,177,935LTF29,N5,20,20,100.00
20,178,935MOFSL29,N5,30,30,100.00
20,179,935PEL33,N3,23,23,100.00
20,180,93MOFSL34,N6,70,70,100.00
20,181,943ECL28,NJ,1071,882,82.35
20,182,945IFSL25,N4,266,194,72.93
20,183,94NFL24,N3,3,3,100.00
20,184,94SFL28,YL,442,442,100.00
20,185,957ICCL25,YW,46,46,100.00
20,186,957ISFL26,N2,10,10,100.00
20,187,957NIDO26,N5,503,501,99.60
20,188,960ISFL25,N1,5,5,100.00
20,189,965SCL25C,N0,224,154,68.75
20,190,965SCL26A,ZB,10,10,100.00
20,191,96IIFL28,N5,2131,2040,95.73
20,192,96IIFL28A,NF,1303,1303,100.00
20,193,96SFL24A,NB,58,58,100.00
20,194,970CAGL28,ND,377,377,100.00
20,195,975NFL25,N0,161,157,97.52
20,196,97SFL26,Z9,622,600,96.46
20,197,97SFL29,YZ,93,93,100.00
20,198,985ECL28,NK,35,35,100.00
20,199,990SCL26I,AV,9,9,100.00
20,200,99IFCI24,NH,20,20,100.00
20,201,9IIFL28A,NT,22,22,100.00
20,202,9MMFSML,N2,755,755,100.00
20,203,9PCHFL31A,NA,832,760,91.35
20,204,AAATECH,EQ,95475,49274,51.61
20,205,AADHARHFC,EQ,451245,247246,54.79
20,206,AAREYDRUGS,EQ,161254,93942,58.26
20,207,AARON,EQ,8040,5902,73.41
20,208,AARTIDRUGS,EQ,109917,52602,47.86
20,209,AARTIIND,EQ,1639495,634756,38.72
20,210,AARTIPHARM,EQ,116614,54736,46.94
20,211,AARTISURF,EQ,17156,6321,36.84
20,212,AARVI,EQ,20798,11544,55.51
20,213,AATMAJ,SM,26000,24000,92.31
20,214,AAVAS,EQ,94030,51411,54.68
20,215,ABAN,EQ,134470,64205,47.75
20,216,ABB,EQ,470318,151088,32.12
20,217,ABBOTINDIA,EQ,16507,8891,53.86
20,218,ABCAPITAL,EQ,5844921,2090835,35.77
20,219,ABCOTS,SM,1500,1500,100.00
20,220,ABDL,EQ,452181,275916,61.02
20,221,ABFRL,EQ,11679111,5273919,45.16
20,222,ABGSEC,EQ,29,29,100.00
20,223,ABINFRA,SM,18000,16000,88.89
20,224,ABSLAMC,EQ,767704,372410,48.51
20,225,ABSLBANETF,EQ,12704,11169,87.92
20,226,ABSLLIQUID,EQ,26936,26432,98.13
20,227,ABSLNN50ET,EQ,16662,12186,73.14
20,228,ABSLPSE,EQ,1438650,1171111,81.40
20,229,ABSMARINE,SM,106000,61000,57.55
20,230,ACC,EQ,332764,125124,37.60
20,231,ACCELYA,EQ,189710,161233,84.99
20,232,ACCENTMIC,SM,28000,19500,69.64
20,233,ACCORD,SM,2000,2000,100.00
20,234,ACE,EQ,160702,68272,42.48
20,235,ACEINTEG,EQ,60665,15813,26.07
20,236,ACI,EQ,1140008,549162,48.17
20,237,ACL,EQ,54056,31815,58.86
20,238,ACLGATI,EQ,773545,403594,52.17
20,239,ACSAL,SM,24000,18000,75.00
20,240,ADANIENSOL,EQ,3993218,1836963,46.00
20,241,ADANIENT,EQ,1868169,897170,48.02
20,242,ADANIGREEN,EQ,576702,206363,35.78
20,243,ADANIPORTS,EQ,2258441,845944,37.46
20,244,ADANIPOWER,EQ,15171803,8720219,57.48
20,245,ADFFOODS,EQ,197962,67649,34.17
20,246,ADL,EQ,14563,8030,55.14
20,247,ADORWELD,EQ,39270,18956,48.27
20,248,ADROITINFO,EQ,144043,91291,63.38
20,249,ADROITPP1,E1,148467,146014,98.35
20,250,ADSL,EQ,372861,149455,40.08
20,251,ADVANIHOTR,EQ,192030,52915,27.56
20,252,ADVENZYMES,EQ,255765,129875,50.78
20,253,AEGISLOG,EQ,568925,467134,82.11
20,254,AEROFLEX,EQ,489064,246635,50.43
20,255,AETHER,EQ,27627,14690,53.17
20,256,AFFLE,EQ,902643,532498,58.99
20,257,AFIL,EQ,75459,34076,45.16
20,258,AGARIND,EQ,63224,28869,45.66
20,259,AGARWALFT,ST,15000,15000,100.00
20,260,AGI,EQ,134066,70807,52.82
20,261,AGIIL,EQ,2139,745,34.83
20,262,AGNI,SM,112500,65000,57.78
20,263,AGRITECH,EQ,26601,12469,46.87
20,264,AGROPHOS,EQ,56602,29822,52.69
20,265,AGSTRA,EQ,255946,116337,45.45
20,266,AHL,EQ,290581,140824,48.46
