Sr. No,Symbol,Series,Security Name,From,To
1,ATALREAL,EQ,ATAL REALTECH LIMITED,10,5
2,COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,10,5
3,MICEL,EQ,MIC ELECTRONICS LIMITED,10,5
4,TAC,SM,TAC INFOSEC LIMITED,20,10
5,ALUWIND,SM,ALUWIND ARCHITECTURAL LIMITED,5,20
6,CGRAPHICS,SM,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED,5,20
7,CUBEXTUB,BE,CUBEX TUBINGS LIMITED,5,2
8,DRSDILIP,SM,DRS DILIP ROADLINES LIMITED,5,20
9,PARASPETRO,BE,PARAS PETROFILS LIMITED,5,2
10,THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,5,2
11,TRF,BE,TRF LIMITED,5,2
12,UMAEXPORTS,BE,UMA EXPORTS LIMITED,5,2
13,ZODIAC,BE,ZODIAC ENERGY LIMITED,5,2
