2.50%GOLDBONDS2027SR-VI       ,SGBOCT27VI,GB,N,0007522.72,0007530.00,0007530.00,0007530.00,0007530.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2027SR-VII      ,SGBDC27VII,GB,N,0007664.14,0007305.55,0007601.00,0007205.55,0007601.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-I        ,SGBAPR28I ,GB,N,0007697.71,0007697.71,0007790.00,0007650.00,0007661.25,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-II       ,SGBMAY28  ,GB,N,0007622.25,0007622.25,0007650.00,0007470.00,0007598.49,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-IV       ,SGBJUL28IV,GB,N,0007618.81,0007599.99,0007599.99,0007460.05,0007512.08,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-V        ,SGBAUG28V ,GB,N,0007772.93,0007773.00,0007781.00,0007649.00,0007694.94,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0007705.35,0007601.00,0007649.99,0007550.00,0007588.33,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0007594.51,0007748.00,0007748.00,0007450.00,0007535.71,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-VIII     ,SGBJ28VIII,GB,N,0007531.00,0007531.00,0007592.94,0007351.15,0007576.03,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2028SR-X        ,SGBMAR28X ,GB,N,0007689.50,0007689.50,0007689.50,0007481.00,0007483.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-IV       ,SGBJUL29IV,GB,N,0007673.92,0007650.00,0007670.00,0007400.00,0007549.49,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-IX       ,SGBJAN29IX,GB,N,0007630.45,0007630.45,0007630.45,0007461.00,0007508.54,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-V        ,SGBAUG29V ,GB,N,0007795.12,0007700.00,0007755.00,0007640.00,0007673.33,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-VIII     ,SGBD29VIII,GB,N,0007719.16,0007720.00,0007720.00,0007580.00,0007650.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-X        ,SGBJAN29X ,GB,N,0007674.96,0007598.00,0007674.96,0007480.20,0007574.99,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-XI       ,SGBFEB29XI,GB,N,0007722.71,0007600.00,0007659.00,0007559.00,0007589.99,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2029SR-XII      ,SGBMR29XII,GB,N,0007626.55,0007625.00,0007626.55,0007490.00,0007506.01,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2030SR-I        ,SGBJUN30  ,GB,N,0007843.41,0007802.00,0007835.00,0007590.00,0007640.29,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2030SR-II       ,SGBAUG30  ,GB,N,0007856.08,0007975.00,0008050.00,0007825.00,0007859.72,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2030SR-III      ,SGBDE30III,GB,N,0007745.10,0007990.00,0007990.00,0007600.00,0007717.97,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2030SR-IX       ,SGBJAN30IX,GB,N,0007806.32,0007946.83,0007946.83,0007500.00,0007627.36,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2030SR-X        ,SGBMAR30X ,GB,N,0007784.27,0007784.27,0007883.00,0007706.00,0007712.37,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2031SR-I        ,SGBJUN31I ,GB,N,0007795.08,0007949.00,0007949.00,0007526.00,0007703.32,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2031SR-II       ,SGBSEP31II,GB,N,0007776.42,0007852.93,0007852.93,0007555.00,0007711.13,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2031SR-III      ,SGBDE31III,GB,N,0007807.94,0007807.94,0007807.94,0007700.00,0007776.30,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2031SR-IV       ,SGBMAR31IV,GB,N,0007966.66,0007998.00,0008030.00,0007700.00,0007961.75,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.50%GOLDBONDS2032SR-IV       ,SGBFEB32IV,GB,N,0007925.11,0007925.11,0007950.00,0007716.00,0007871.82,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.75% GOLDBONDS2024TR-IV      ,SGBAUG24  ,GB,N,0007277.58,0007277.58,0007400.00,0007111.00,0007203.55,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
2.75% GOLDBONDS2024TR-V       ,SGBSEP24  ,GB,N,0007280.23,0007280.60,0007344.90,0007151.11,0007259.92,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
20 MICRONS LTD                ,20MICRONS ,EQ,N,0000218.77,0000219.65,0000229.50,0000219.65,0000222.67,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
21ST CENTURY MGMT SERVICE     ,21STCENMGM,BE,G,0000076.09,0000077.61,0000077.61,0000077.61,0000077.61,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
360 ONE WAM LIMITED           ,360ONE    ,EQ,N,0001000.30,0000998.95,0001039.00,0000998.00,0001021.20,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
3I INFOTECH LIMITED           ,3IINFOLTD ,EQ,N,0000036.35,0000036.01,0000037.49,0000036.01,0000037.06,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
3M INDIA LIMITED              ,3MINDIA   ,EQ,N,0038490.75,0038406.10,0038880.00,0038250.20,0038406.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
3P LAND HOLDINGS LIMITED      ,3PLAND    ,EQ,N,0000034.78,0000034.50,0000038.20,0000034.49,0000037.34,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
5PAISA CAPITAL LIMITED        ,5PAISA    ,EQ,N,0000464.95,0000467.70,0000478.80,0000467.70,0000472.15,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
63 MOONS TECHNOLOGIES LTD     ,63MOONS   ,EQ,N,0000324.90,0000325.00,0000339.85,0000321.60,0000337.15,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.35% TAX FREE NCD            ,735PFCL35 ,N1,N,0001310.00,0001050.30,0001050.30,0001050.30,0001050.30,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.36% TAX FREE NCD            ,736PFCL28 ,N2,N,0001084.00,0001122.99,0001122.99,0001122.99,0001122.99,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.43% TAX FREE TRI SR3B       ,743REC35  ,NH,N,0001200.00,0001200.30,0001200.30,0001200.30,0001200.30,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.51 NCD 16FEB28 TR1 SR2      ,751HUDCO28,N5,N,0001088.47,0001085.01,0001085.01,0001085.01,0001085.01,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.60% TAX FREE NCD            ,760PFCL35 ,N3,N,0001220.00,0001220.00,0001220.00,0001220.00,0001220.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
