Sr. No,Symbol,Series,Security Name,From,To
1,BAHETI,SM,BAHETI RECYCLING INDUSTRIES LIMITED,10,5
2,MCON,SM,MCON RASAYAN INDIA LIMITED,10,5
3,KARMAENG,BE,KARMA ENERGY LIMITED,2,5
4,KRITIKA,BE,KRITIKA WIRES LIMITED,2,5
5,RHL,BE,ROBUST HOTELS LIMITED,2,5
6,S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,2,5
7,TPHQ,BE,TEAMO PRODUCTIONS HQ LIMITED,2,5
8,AMBICAAGAR,BE,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,20,5
9,ALMONDZ,EQ,ALMONDZ GLOBAL SECURITIES LIMITED,5,10
10,ASHOKAMET,EQ,ASHOKA METCAST LIMITED,5,10
11,CORALFINAC,EQ,CORAL INDIA FINANCE & HOUSING LIMITED,5,20
12,GTECJAINX,BE,G-TEC JAINX EDUCATION LIMITED,5,2
13,INVENTURE,EQ,INVENTURE GROWTH & SECURITIES LIMITED,5,10
14,IVP,EQ,IVP LIMITED,5,20
15,LFIC,EQ,LAKSHMI FINANCE & INDUSTRIAL CORPORATION LIMITED,5,20
16,MADHAV,BE,MADHAV MARBLES AND GRANITES LIMITED,5,2
17,MANAKALUCO,EQ,MANAKSIA ALUMINIUM COMPANY LIMITED,5,10
18,ORIENTALTL,EQ,ORIENTAL TRIMEX LIMITED,5,20
19,PILITA,EQ,PIL ITALICA LIFESTYLE LIMITED,5,20
20,SLONE,SM,SLONE INFOSYSTEMS LIMITED,5,20
21,TERASOFT,EQ,TERA SOFTWARE LIMITED,5,20
22,USK,EQ,UDAYSHIVAKUMAR INFRA LIMITED,5,20
23,VINEETLAB,EQ,VINEET LABORATORIES LIMITED,5,20
24,SECURCRED,BE,SECUR CREDENTIALS LIMITED,20,5
