Sr. No,Symbol,Series,Security Name,From,To
1,ABMINTLLTD,BE,ABM INTERNATIONAL LIMITED,10,5
2,ENSER,SM,ENSER COMMUNICATIONS LIMITED,10,5
3,SIKKO,BE,SIKKO INDUSTRIES LIMITED,10,5
4,VERITAAS,SM,VERITAAS ADVERTISING LIMITED,10,5
5,AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,20,5
6,KMSUGAR,BE,K.M.SUGAR MILLS LIMITED,20,5
7,MAHEPC,BE,MAHINDRA EPC IRRIGATION LIMITED,20,5
8,PARAS,EQ,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,20,10
9,WINSOL,SM,WINSOL ENGINEERS LIMITED,20,10
10,ATALREAL,BE,ATAL REALTECH LIMITED,5,2
11,BEACON,SM,BEACON TRUSTEESHIP LIMITED,5,20
12,MEP,BE,MEP INFRASTRUCTURE DEVELOPERS LIMITED,5,2
