Symbol,Security,From Series,To Series,Change Date,Remarks
ADL,ARCHIDPLY DECOR LIMITED,EQ,BE,17-SEP-2024,"-"
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED,EQ,BE,17-SEP-2024,"-"
IPHL,INDIAN PHOSPHATE LIMITED,ST,SM,17-SEP-2024,"-"
JAYBEE,JAY BEE LAMINATIONS LIMITED,ST,SM,17-SEP-2024,"-"
MFML,MAHALAXMI FABRIC MILLS LIMITED,EQ,BE,17-SEP-2024,"-"
NIRAJ,NIRAJ CEMENT STRUCTURALS LIMITED,EQ,BE,17-SEP-2024,"-"
PASUPTAC,PASUPATI ACRYLON LIMITED,EQ,BE,17-SEP-2024,"-"
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LIMITED,EQ,BE,17-SEP-2024,"-"
SURAJLTD,SURAJ LIMITED,EQ,BE,17-SEP-2024,"-"
VDEAL,VDEAL SYSTEM LIMITED,ST,SM,17-SEP-2024,"-"
