Sr. No,Symbol,Series,Security Name,From,To
1,BINANIIND,EQ,BINANI INDUSTRIES LIMITED,10,5
2,QVCEL,SM,QVC EXPORTS LIMITED,10,5
3,SILKFLEX,SM,SILKFLEX POLYMERS (INDIA) LIMITED,10,5
4,DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,2,5
5,KAPSTON,BE,KAPSTON SERVICES LIMITED,2,5
6,LPDC,BE,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,2,5
7,SHYAMTEL,BE,SHYAM TELECOM LIMITED,2,5
8,TCIFINANCE,BE,TCI FINANCE LIMITED,2,5
9,TERASOFT,BE,TERA SOFTWARE LIMITED,2,5
10,TFL,BE,TRANSWARRANTY FINANCE LIMITED,2,5
11,TIL,BZ,TIL LIMITED,2,5
12,TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,2,5
13,ZEELEARN,BE,ZEE LEARN LIMITED,2,5
14,SURAJLTD,EQ,SURAJ LIMITED,20,10
15,TBZ,EQ,TRIBHOVANDAS BHIMJI ZAVERI LIMITED,20,10
16,ANTGRAPHIC,BE,ANTARCTICA LIMITED,5,2
17,INDOTHAI,BE,INDO THAI SECURITIES LIMITED,5,2
18,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,5,2
19,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,5,2

