Sr. No,Symbol,Series,Security Name,From,To
1,DGCONTENT,BE,DIGICONTENT LIMITED,10,5
2,GSMFOILS,ST,GSM FOILS LIMITED,10,5
3,MOHITIND,BE,MOHIT INDUSTRIES LIMITED,10,5
4,RILINFRA,SM,RACHANA INFRASTRUCTURE LIMITED,10,5
5,WOMANCART,SM,WOMANCART LIMITED,10,5
6,CORDSCABLE,BE,CORDS CABLE INDUSTRIES LIMITED,20,5
7,SIMBHALS,BE,SIMBHAOLI SUGARS LIMITED,20,5
8,SOMICONVEY,EQ,SOMI CONVEYOR BELTINGS LIMITED,20,10
9,TOTAL,BE,TOTAL TRANSPORT SYSTEMS LIMITED,20,5
10,USK,BE,UDAYSHIVAKUMAR INFRA LIMITED,20,5
11,NILASPACES,BE,NILA SPACES LIMITED,5,2
