Sr. No,Symbol,Series,Security Name,From,To
1,AIMTRON,SM,AIMTRON ELECTRONICS LIMITED,10,5
2,BYKE,BE,THE BYKE HOSPITALITY LTD,10,5
3,K2INFRA,SM,K2 INFRAGEN LIMITED,10,5
4,LGBFORGE,BE,LGB FORGE LIMITED,10,5
5,SPECTRUM,SM,SPECTRUM ELECTRICAL INDUSTRIES LIMITED,10,5
6,SVPGLOB,EQ,SVP GLOBAL TEXTILES LIMITED,10,5
7,ANLON,SM,ANLON TECHNOLOGY SOLUTIONS LIMITED,20,10
8,MOHITIND,EQ,MOHIT INDUSTRIES LIMITED,20,10
9,SAAKSHI,SM,SAAKSHI MEDTECH AND PANELS LIMITED,20,10
10,SLONE,SM,SLONE INFOSYSTEMS LIMITED,20,10
