Symbol,Security,From Series,To Series,Change Date,Remarks
ACCURACY,ACCURACY SHIPPING LIMITED,EQ,BE,27-JUN-2024,"-"
CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED,EQ,BE,27-JUN-2024,"-"
DGCONTENT,DIGICONTENT LIMITED,EQ,BE,27-JUN-2024,"-"
GSMFOILS,GSM FOILS LIMITED,SM,ST,27-JUN-2024,"-"
INFOMEDIA,INFOMEDIA PRESS LIMITED,EQ,BE,27-JUN-2024,"GSM STAGE - II"
MOHITIND,MOHIT INDUSTRIES LIMITED,EQ,BE,27-JUN-2024,"-"
RKDL,RAVI KUMAR DISTILLERIES LIMITED,EQ,BE,27-JUN-2024,"-"
SAMPANN,SAMPANN UTPADAN INDIA LIMITED,EQ,BE,27-JUN-2024,"-"
SIMBHALS,SIMBHAOLI SUGARS LIMITED,EQ,BE,27-JUN-2024,"-"
TOTAL,TOTAL TRANSPORT SYSTEMS LIMITED,EQ,BE,27-JUN-2024,"-"
USK,UDAYSHIVAKUMAR INFRA LIMITED,EQ,BE,27-JUN-2024,"-"
YUDIZ,YUDIZ SOLUTIONS LIMITED,SM,ST,27-JUN-2024,"-"
