"Security Name","Symbol Name","Trade Date","Quantity"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","19-Jun-2024","9800"
"GUJARAT GAS LIMITED","GUJGASLTD","19-Jun-2024","20000"
"WIPRO LTD","WIPRO","19-Jun-2024","208500"
