Sr. No,Symbol,Series,Security Name,From,To
1,ALUWIND,SM,ALUWIND ARCHITECTURAL LIMITED,10,5
2,BLUEPEBBLE,SM,BLUE PEBBLE LIMITED,10,5
3,DNAMEDIA,EQ,DILIGENT MEDIA CORPORATION LIMITED,10,5
4,DRCSYSTEMS,BE,DRC SYSTEMS INDIA LIMITED,10,5
5,KRISHNADEF,SM,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED,10,5
6,MASTER,SM,MASTER COMPONENTS LIMITED,10,5
7,SUPERSPIN,EQ,SUPER SPINNING MILLS LIMITED,10,5
8,ESSEN-RE2,BE,INTEGRA ESSEN LTD-RE,20,10
9,GSMFOILS,SM,GSM FOILS LIMITED,20,10
10,IEML,SM,INDIAN EMULSIFIERS LIMITED,20,10
11,KALYANIFRG,EQ,KALYANI FORGE LIMITED,20,10
12,MITCON,EQ,MITCON CONSULTANCY & ENGINEERING SERVICES LIMITED,20,10
13,QUESTLAB,SM,QUEST LABORATORIES LIMITED,20,10
14,RILINFRA,SM,RACHANA INFRASTRUCTURE LIMITED,20,10
15,STARTECK,EQ,STARTECK FINANCE LIMITED,20,10
16,TIRUPATIFL,EQ,TIRUPATI FORGE LIMITED,20,10
17,WINDMACHIN,EQ,WINDSOR MACHINES LIMITED,20,10
18,AARTECH,BE,AARTECH SOLONICS LIMITED,5,2
19,DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,5,2
20,ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,5,2
21,RHFL,BE,RELIANCE HOME FINANCE LIMITED,5,2
22,SHYAMTEL,BE,SHYAM TELECOM LIMITED,5,2
23,TARAPUR,BE,TARAPUR TRANSFORMERS LIMITED,5,2
24,TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,5,2
25,ZTECH,SM,Z-TECH (INDIA) LIMITED,5,10
