Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03072024,1890026004,0002527
Trade Date <03-JUL-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,139,85TCAPS24,N6,779,726,93.20
20,140,865IFL28,NZ,2593,2593,100.00
20,141,865IIFL28,NS,143,143,100.00
20,142,865IRFC29,NA,1138,1138,100.00
20,143,865LTF26,NN,1990,1910,95.98
20,144,866IBHL25,YP,77,77,100.00
20,145,86LTF24,NJ,75,75,100.00
20,146,871REC28,N9,576,576,100.00
20,147,873NTPC28,N5,1000,1000,100.00
20,148,875IHFL29,ND,112,111,99.11
20,149,875IIFL26,NM,20,20,100.00
20,150,875IIFL26A,NQ,146,146,100.00
20,151,875NHAI29,N6,500,500,100.00
20,152,875PCHFL26,N8,20,20,100.00
20,153,876HUDCO28,ND,395,395,100.00
20,154,880IREDA34,N6,155,155,100.00
20,155,883GS2041,GS,11,11,100.00
20,156,885MOFSL26,N0,30,30,100.00
20,157,888ERFL28,N5,21,21,100.00
20,158,888IHFL25F,NC,10,10,100.00
20,159,888IRFC29,NE,100,100,100.00
20,160,888NHB29,N5,175,150,85.71
20,161,888REC29,NF,222,111,50.00
20,162,889IHFL27,YC,10,10,100.00
20,163,889IHFL28,NU,10,10,100.00
20,164,891IIFCL34,N4,150,150,100.00
20,165,891NTPC33,N6,10,10,100.00
20,166,892PFCL33,N8,1414,1085,76.73
20,167,897MOFSL29,N4,1339,1339,100.00
20,168,898LTF29,N7,212,160,75.47
20,169,8ABFL26,N0,4,2,50.00
20,170,901HUDCO34,NE,1104,1050,95.11
20,171,901NHB34,N6,10,10,100.00
20,172,903SFL28,YI,785,785,100.00
20,173,905IH24B,Z9,36,36,100.00
20,174,910TCAP28,NA,15,15,100.00
20,175,915GS2024,GS,7,7,100.00
20,176,91D020824,TB,55100,55100,100.00
20,177,91D050924,TB,1300,1300,100.00
20,178,91D120724,TB,7100,7100,100.00
20,179,91D120924,TB,8600,8600,100.00
20,180,91D150824,TB,1900,1900,100.00
20,181,91D190724,TB,400,400,100.00
20,182,91D230824,TB,40100,40100,100.00
20,183,91D250724,TB,300,300,100.00
20,184,91D290824,TB,300,300,100.00
20,185,920IIFLS26,N8,60,40,66.67
20,186,921ISFL25,N0,362,262,72.38
20,187,922SFL24,Z4,2,1,50.00
20,188,925IHFL25,N5,60,60,100.00
20,189,925IHFL25A,NH,20,20,100.00
20,190,925IHFL25B,Y3,12,10,83.33
20,191,92GS2030,GS,1455,1455,100.00
20,192,930SFL28,YP,305,300,98.36
20,193,93IHFL24,ZP,100,50,50.00
20,194,93MOFSL34,N6,342,342,100.00
20,195,940CAGL27,NB,15,15,100.00
20,196,943ECL28,NJ,345,309,89.57
20,197,945IFSL25,N4,116,99,85.34
20,198,94NFL24,N3,50,50,100.00
20,199,94SFL28,YL,425,375,88.24
20,200,955IHFL27,Z5,110,110,100.00
20,201,957ICCL25,YW,38,38,100.00
20,202,957NIDO26,N5,12,12,100.00
20,203,960ISFL25,N1,199,199,100.00
20,204,965IHFL25B,Y1,50,50,100.00
20,205,965IHFL25C,N0,389,389,100.00
20,206,965IHFL25E,BF,10,10,100.00
20,207,965IHFL26A,ZB,20,20,100.00
20,208,96IIFL28,N5,2392,2174,90.89
