Sr. No,Symbol,Series,Security Name,From,To
1,AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,10,5
2,BURNPUR,BE,BURNPUR CEMENT LIMITED,10,5
3,GILLANDERS,EQ,GILLANDERS ARBUTHNOT & COMPANY LIMITED,10,5
4,HILTON,EQ,HILTON METAL FORGING LIMITED,10,5
5,SHRENIK,EQ,SHRENIK LIMITED,10,5
6,KNAGRI,SM,KN AGRI RESOURCES LIMITED,20,10
7,NAHARPOLY,EQ,NAHAR POLY FILMS LIMITED,20,10
8,NDGL,BE,NAGA DHUNSERI GROUP LIMITED,20,5
9,NIRMAN,SM,NIRMAN AGRI GENETICS LIMITED,20,10
10,VERANDA,EQ,VERANDA LEARNING SOLUTIONS LIMITED,20,10
11,ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,5,2
12,REGENCERAM,BE,REGENCY CERAMICS LIMITED,5,2
13,VIJIFIN,BE,VIJI FINANCE LIMITED,5,2
14,ZODIAC,BE,ZODIAC ENERGY LIMITED,5,2
