MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AP,950SCL23A,SEC RE NCD 9.65% SR I,       968.00,       968.00,       968.00,       950.58,       966.68,                    19266.30,20, ,3,      1055.00,       900.01
N,AT,SCLZC25B,SEC RE NCD SR III,      1058.11,      1058.00,      1058.00,      1058.00,      1058.00,                    20102.00,19, ,1,      1060.82,       830.10
N,BV,10SCL30A,SEC RE NCD 9.71% SR VIII,      1020.00,       810.30,       867.00,       800.40,       867.00,                   196566.00,230, ,15,      1240.00,       800.40
N,N0,1190VCCL26,VCCL 11.90% 2026,     99599.00,     99599.00,     99599.00,     99599.00,     99599.00,                    99599.00,1, ,1,     99599.00,     99250.00
N,N0,921ISFL25,SEC RE NCD 9.21% SR 1,       975.00,       975.00,       975.00,       973.00,       973.00,                    77900.00,80, ,2,      1050.00,       933.01
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       950.00,       925.00,       925.00,       925.00,       925.00,                     8325.00,9, ,1,      1038.00,       815.00
N,N0,9ICCL23A,SEC RE NCD 8.25% SR.I,       981.10,       981.30,      1000.20,       981.30,      1000.20,                   147427.80,149, ,6,      1075.00,       978.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       249.99,       251.00,       252.00,       248.00,       248.00,                   321134.00,1284, ,7,       260.00,       241.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                   494900.00,490, ,26,      1011.00,       860.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       310.50,       312.00,       312.00,       310.75,       311.02,                    96124.27,309, ,11,       318.00,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1005.00,      1009.90,      1009.90,      1009.90,      1009.90,                    20198.00,20, ,1,      1145.00,       972.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       251.00,       251.00,       251.00,       250.00,       250.00,                    25851.00,103, ,3,       263.74,       240.00
N,N2,1075SCL33A,SEC RE NCD 10.75% SR XI,      1099.10,       959.00,       959.00,       901.80,       950.00,                   135741.00,143, ,18,      1200.00,       901.80
