Sr. No,Symbol,Series,Security Name,From,To
1,SARVESHWAR,EQ,SARVESHWAR FOODS LIMITED,10,5
2,CAPTRUST,BE,CAPITAL TRUST LIMITED,20,5
3,INFIBEAM,BE,INFIBEAM AVENUES LIMITED,20,5
4,NDL,BE,NANDAN DENIM LIMITED,20,5
5,IDEALTECHO,SM,IDEAL TECHNOPLAST INDUSTRIES LIMITED,5,20
6,IRIS,BE,IRIS BUSINESS SERVICES LIMITED,5,2
7,MAHASTEEL,BE,MAHAMAYA STEEL INDUSTRIES LIMITED,5,2
8,ORIENTTECH,EQ,ORIENT TECHNOLOGIES LIMITED,5,20
9,QVCEL,SM,QVC EXPORTS LIMITED,5,10
10,STEL,BE,STEL HOLDINGS LIMITED,5,2
11,USK,BE,UDAYSHIVAKUMAR INFRA LIMITED,5,2
