Symbol,Security,From Series,To Series,Change Date,Remarks
ACCURACY,ACCURACY SHIPPING LIMITED,BE,EQ,18-MAY-2024,"-"
ALANKIT,ALANKIT LIMITED,BE,EQ,18-MAY-2024,"-"
BVCL,BARAK VALLEY CEMENTS LIMITED,BE,EQ,18-MAY-2024,"-"
DNAMEDIA,DILIGENT MEDIA CORPORATION LIMITED,BE,EQ,18-MAY-2024,"-"
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED,BE,EQ,18-MAY-2024,"-"
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED,BE,EQ,18-MAY-2024,"-"
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,BE,EQ,18-MAY-2024,"-"
MRO-TEK,MRO-TEK REALTY LIMITED,EQ,BE,18-MAY-2024,"-"
SAMPANN,SAMPANN UTPADAN INDIA LIMITED,BE,EQ,18-MAY-2024,"-"
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,BE,EQ,18-MAY-2024,"-"
SMLT,SARTHAK METALS LIMITED,BE,EQ,18-MAY-2024,"-"
SOMICONVEY,SOMI CONVEYOR BELTINGS LIMITED,BE,EQ,18-MAY-2024,"-"
VERTOZ,VERTOZ ADVERTISING LIMITED,BE,EQ,18-MAY-2024,"-"
