MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AB,965IHFL25,SEC RE NCD 9.65% SR.I,       979.78,       978.78,       978.78,       978.78,       978.78,                    48939.00,50, ,1,      1063.80,       930.20
N,AP,950NFL23A,SEC RE NCD 9.65% SR I,      1050.00,      1050.00,      1050.00,      1050.00,      1050.00,                   105000.00,100, ,1,      1148.00,       900.10
N,AX,948IHFL26I,SEC RE NCD 9.48% SR V,      1000.00,       982.00,       982.00,       982.00,       982.00,                    43208.00,44, ,1,      1065.00,       900.31
N,BI,IBHF25B,SEC RE NCD SR III,      1015.00,      1015.00,      1029.00,      1015.00,      1016.36,                   260362.99,256, ,9,      1080.00,       930.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,       992.00,       995.00,       995.00,       995.00,       995.00,                    19900.00,20, ,1,      1002.00,       950.00
N,N0,921ISFL25,SEC RE NCD 9.21% SR 1,       954.00,       954.00,       958.25,       954.00,       958.25,                    28662.50,30, ,3,      1050.00,       933.01
N,N0,965IHFL25C,SEC RE NCD 9.39% SR.VIII,       910.00,       919.00,       919.00,       914.00,       918.50,                   106511.50,116, ,6,      1038.00,       815.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       993.00,       993.00,       993.00,       983.00,       983.00,                    22809.00,23, ,3,      1007.00,       960.49
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       241.00,       255.00,       255.00,       255.00,       255.00,                     1275.00,5, ,1,       265.98,       241.00
N,N1,735PFCL35,7.35% TAX FREE NCD,      1260.00,      1300.00,      1512.00,      1300.00,      1512.00,                   118512.00,91, ,2,      1691.90,      1000.10
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       305.00,       305.00,       306.40,       305.00,       305.01,                  5603132.34,18308, ,23,       316.90,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1019.95,      1019.95,      1020.00,      1019.95,      1019.97,                   114234.65,112, ,3,      1145.00,       972.00
N,N1,ABFL26,SEC RE NCD SR II,      1016.00,      1010.00,      1010.00,       997.72,       997.72,                    10038.60,10, ,2,      1016.02,       852.40
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       245.65,       241.23,       241.23,       241.23,       241.23,                     2412.30,10, ,1,       263.74,       240.00
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1100.00,      1100.00,      1100.00,      1096.00,      1096.00,                   121864.00,111, ,3,      1155.00,      1041.47
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1130.00,      1139.00,      1139.00,      1131.00,      1133.00,                  1341250.30,1185, ,24,      1330.00,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       306.00,       306.10,       306.20,       306.10,       306.20,                    33681.00,110, ,3,       320.00,       298.45
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1117.11,      1122.90,      1122.90,      1118.00,      1118.00,                   392424.89,351, ,6,      1180.00,      1065.00
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1090.88,      1090.14,      1090.65,      1090.14,      1090.60,                  1115456.70,1023, ,12,      1209.99,      1060.00
N,N2,830CIFC26,SEC RE NCD 8.30% SR.III,       995.01,      1000.00,      1000.00,      1000.00,      1000.00,                    20000.00,20, ,2,      1224.00,       995.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1130.00,      1131.00,      1131.00,      1130.00,      1130.00,                    25999.15,23, ,5,      1177.00,      1062.20
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1005.00,      1000.00,      1000.00,      1000.00,      1000.00,                    10000.00,10, ,1,      1010.00,       991.00
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       980.00,       980.00,       980.00,       980.00,       980.00,                    25480.00,26, ,2,      1009.00,       927.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1011.15,      1012.05,      1015.00,      1012.05,      1015.00,                    11135.50,11, ,2,      1131.00,       996.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       256.00,       251.40,       251.40,       251.40,       251.40,                     2514.00,10, ,1,       262.98,       241.00
N,N3,0MOFSL27,SEC RE NCD SR IV,       987.00,       990.00,       992.00,       990.00,       990.05,                   495117.50,500, ,3,      1000.00,       860.15
N,N3,760PFCL35,7.60% TAX FREE NCD,      1185.01,      1211.41,      1211.41,      1211.41,      1211.41,                    50879.22,42, ,2,      1277.00,      1119.01
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       408.25,       408.30,       408.35,       408.00,       408.35,                   146952.50,360, ,5,       428.46,       392.00
N,N3,935PEL33,SEC RE NCD 9.35% SR IV,      1069.00,      1065.00,      1065.00,      1065.00,      1065.00,                   603855.00,567, ,10,      1115.01,       983.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       259.95,       255.28,       255.28,       255.28,       255.28,                     2552.80,10, ,1,       266.50,       241.81
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,       992.87,       995.00,       996.10,       994.97,       996.00,                   202155.00,203, ,7,      1018.99,       951.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,       992.01,      1000.00,      1000.00,      1000.00,      1000.00,                   106000.00,106, ,4,      1082.00,       937.00
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,      1100.11,      1100.15,      1100.15,      1100.15,      1100.15,                   108914.85,99, ,1,      1169.90,      1050.50
N,N4,78ABFL33,SEC RE NCD 7.80% SR V,      1000.80,      1001.20,      1001.20,      1001.20,      1001.20,                   142170.40,142, ,1,      1070.00,       960.00
N,N4,801TCH25,SEC RED NCD 8.01% SR.II,       999.05,      1005.00,      1005.00,      1005.00,      1005.00,                    15075.00,15, ,1,      1100.01,       951.00
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                     5000.00,5, ,1,      1070.00,       975.11
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1290.21,      1305.00,      1305.00,      1290.10,      1300.00,                  1037940.21,796, ,7,      1359.90,      1241.02
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1008.99,      1007.00,      1007.00,      1007.00,      1007.00,                    50350.00,50, ,1,      1015.90,       990.35
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1017.00,      1025.00,      1025.00,      1025.00,      1025.00,                    30750.00,30, ,1,      1066.00,       888.00
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,      1090.11,      1090.01,      1092.00,      1090.01,      1092.00,                   436402.00,400, ,4,      1154.98,      1065.00
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,      1160.00,      1160.00,      1160.00,      1155.00,      1155.68,                    13872.50,12, ,3,      1288.00,      1130.01
N,N5,888ERFL28,SEC RED NCD 8.88% SR. V,       890.00,       917.00,       917.00,       894.99,       894.99,                   119078.68,133, ,7,       955.00,       825.80
N,N5,925IHFL25,SEC RE NCD 9.25% SR II,       970.00,       994.99,       994.99,       994.99,       994.99,                    37809.62,38, ,1,      1110.00,       933.99
N,N5,935LTF29,SE RE NCD 9.35% SR.V OP2,      1057.00,      1060.30,      1070.00,      1060.00,      1070.00,                   344608.15,325, ,7,      1150.00,      1032.00
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       954.81,       956.00,       970.00,       956.00,       970.00,                     3852.00,4, ,2,      1024.90,       894.01
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       933.10,       930.00,       945.99,       930.00,       936.00,                  2179752.73,2328, ,39,      1002.00,       910.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1163.99,      1156.10,      1161.73,      1156.00,      1160.34,                  2031607.63,1752, ,28,      1250.00,      1130.00
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1320.00,      1302.35,      1309.05,      1302.35,      1307.93,                   118943.65,91, ,5,      1379.90,      1258.00
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1295.00,      1295.00,      1295.00,      1295.00,      1295.00,                    11655.00,9, ,1,      1400.00,      1203.11
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5900.00,      5900.00,      5900.00,      5900.00,      5900.00,                    11800.00,2, ,2,      6300.99,      5400.01
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6700.00,      6700.00,      6700.00,      6680.00,      6680.00,                   534605.00,80, ,4,      7000.00,      6433.00
N,N6,925ERFL28,SEC RED NCD 9.25% SR. VI,       900.00,       900.00,       910.00,       885.00,       910.00,                    98950.00,110, ,3,      1020.00,       833.50
N,N6,93MOFSL34,SEC RE NCD 9.30% SR VII,      1022.00,      1024.00,      1024.00,      1024.00,      1024.00,                    10240.00,10, ,4,      1024.00,       980.00
N,N6,CAGL27A,SEC RE NCD SR. VI,      1180.00,      1180.00,      1180.00,      1180.00,      1180.00,                    11800.00,10, ,1,      1180.00,      1000.00
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,      1170.00,      1129.00,      1249.00,      1129.00,      1133.11,                    87068.42,74, ,5,      1299.90,      1046.60
N,N7,1050UCL25,SEC RED NCD 10.50% SR.III,       997.06,      1000.00,      1000.00,       997.06,       997.06,                    80967.80,81, ,3,      1025.00,       950.00
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,       964.00,      1155.00,      1155.00,      1155.00,      1155.00,                    46200.00,40, ,1,      1360.00,       945.10
N,N7,774IREDA31,7.74% TAX FREE NCD,      1135.61,      1135.61,      1135.61,      1130.11,      1130.11,                   132618.87,117, ,2,      1199.70,      1112.25
N,N7,849NTPC25,8.49% SEC NON-CUM RED NCD,         5.15,         5.19,         5.20,         5.14,         5.15,                   180692.37,35063, ,92,        11.51,         5.00
N,N7,97MOFSL34,SEC RE NCD 9.70% SR VIII,      1011.01,      1011.11,      1038.00,      1011.11,      1038.00,                    11149.10,11, ,2,      1039.00,       995.00
N,N8,1025UCL25,SEC RE NCD 10.25% SR I,       990.00,       995.10,       995.20,       995.10,       995.20,                     3980.60,4, ,2,      1050.00,       930.00
N,N8,739NHAI26,TAX FREE7.39% SR.IB,      1039.99,      1040.00,      1040.00,      1037.37,      1040.00,                   168230.35,162, ,5,      1109.90,      1010.10
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1139.50,      1136.01,      1142.00,      1135.10,      1135.11,                   277110.80,244, ,8,      1198.40,      1106.00
N,N8,840IRFC29,BOND 8.40% PA TF TI-SIIA,      1133.00,      1072.10,      1072.10,      1072.10,      1072.10,                   219780.50,205, ,1,      1247.00,      1068.50
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1070.00,      1078.80,      1079.00,      1078.80,      1079.00,                    21578.00,20, ,2,      1079.00,      1020.00
N,N8,875PCHFL26,SEC RE NCD 8.75% SR.IV,      1048.55,      1050.25,      1050.25,      1050.25,      1050.25,                    52512.50,50, ,1,      1155.55,       891.00
N,N8,892PFCL33,8.92% TAX FREE NCD,      1309.50,      1309.50,      1309.50,      1291.00,      1302.90,                  1561098.14,1204, ,16,      1374.80,      1257.50
N,N9,10NFL25,SEC RE NCD 10.00% SR. I,      1000.00,       995.00,       995.00,       980.00,       980.00,                    19750.00,20, ,2,      1015.00,       950.00
N,N9,769HUDCO31,7.69% TAX FREETRII SR2B,      1153.25,      1153.25,      1153.25,      1151.40,      1151.40,                    89857.30,78, ,2,      1209.90,      1120.02
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       926.00,       945.00,       945.00,       928.00,       928.00,                    13026.00,14, ,2,       959.80,       850.00
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1159.00,      1159.13,      1160.01,      1155.61,      1158.31,                  1876825.45,1620, ,12,      1227.50,      1133.05
