Confirmed list of securities to be auctioned in A 2024152 to be held on Aug 14 2024.

Sr No,Symbol,Series,Total Qty
1,3IINFOLTD,EQ,4500
2,AARTIIND,EQ,13
3,ABAN,EQ,524
4,ABSLLIQUID,EQ,4000
5,ACI,EQ,2499
6,ACL,EQ,7
7,ADANIPOWER,EQ,100
8,AEGISLOG,EQ,1
9,AIRAN,EQ,2
10,AJANTPHARM,EQ,288
11,AKSHAR,EQ,267
12,ALMONDZ,EQ,252
13,ANNAPURNA,SM,6500
14,APOLLO,EQ,10
15,APTECHT,EQ,897
16,ARE&M,EQ,1
17,ASHIANA,EQ,100
18,ASHOKLEY,EQ,200
19,ASMS,EQ,10000
20,AUROPHARMA,EQ,9
21,AWL,EQ,380
22,AXISBANK,EQ,25000
23,BAGFILMS,EQ,1
24,BALMLAWRIE,EQ,50
25,BALRAMCHIN,EQ,261
26,BANSWRAS,EQ,1
27,BCLIND,EQ,200
28,BDL,EQ,1
29,BESTAGRO,EQ,50
30,BFUTILITIE,EQ,75
31,BIRLACORPN,EQ,813
32,BUTTERFLY,EQ,2
33,CENTENKA,EQ,371
34,CERA,EQ,1
35,CHOLAFIN,EQ,2
36,CLEAN,EQ,229
37,CLSL,SM,2000
38,COALINDIA,EQ,155
39,COCHINSHIP,EQ,37
40,DATAMATICS,EQ,3
41,DBREALTY,EQ,3
42,DEEPAKFERT,EQ,50
43,DHANBANK,EQ,3
44,DREAMFOLKS,EQ,500
45,EDELWEISS,EQ,15
46,EIHAHOTELS,EQ,52
47,EMIL,EQ,100
48,ENGINERSIN,EQ,163
49,ESSENTIA,EQ,2724
50,ESTER,EQ,1
51,FEDERALBNK,EQ,500
52,FINOPB,EQ,157
53,FIRSTCRY,EQ,7474
54,FORTIS,EQ,50
55,GAIL,EQ,14
56,GANDHAR,EQ,35
57,GANESHBE,EQ,180
58,GENUSPAPER,EQ,300
59,GESHIP,EQ,7
60,GFLLIMITED,EQ,5
61,GMMPFAUDLR,EQ,25
62,GMRINFRA,EQ,566
63,GOCLCORP,EQ,1
64,GOLDIAM,EQ,80880
65,GRASIMPP1,E1,10
66,GREENPLY,EQ,287
67,GRWRHITECH,EQ,7
68,GSEC10IETF,EQ,8
69,GSEC5IETF,EQ,3
70,GTPL,EQ,200
71,HAL,EQ,10
72,HBLPOWER,EQ,75
73,HDFCAMC,EQ,1
74,HDFCBANK,EQ,783
75,HERANBA,EQ,436
76,HERITGFOOD,EQ,3
77,HEXATRADEX,EQ,748
78,HFCL,EQ,455
79,HINDCOPPER,EQ,9
80,HINDOILEXP,EQ,1680
81,HONASA,EQ,5
82,HUDCO,EQ,186
83,ICICIBANK,EQ,306
84,ICICIGI,EQ,16
85,ICICIPRULI,EQ,351
86,IDEA,EQ,23345
87,IDFC,EQ,20
88,IEX,EQ,1145
89,IIFLSEC,EQ,1
90,IMAGICAA,EQ,100
91,INDIAGLYCO,EQ,1
92,INDIANHUME,EQ,3
93,INDOTECH,EQ,97
94,INOXWIND,EQ,8
95,IPCALAB,EQ,1
96,IRCON,EQ,249
97,IRCTC,EQ,33
98,IRFC,EQ,300
99,ISEC,EQ,5
100,IWEL,EQ,1247
101,JAICORPLTD,EQ,57
102,JINDALSTEL,EQ,2
103,JSFB,EQ,4
104,JSWENERGY,EQ,65
105,JUBLINDS,EQ,101
106,KAKATCEM,EQ,9
107,LICHSGFIN,EQ,108
108,LICI,EQ,5
109,LIQUIDBEES,EQ,2
110,LOTUSEYE,EQ,3266
111,M&M,EQ,176
112,M&MFIN,EQ,434
113,MANKIND,EQ,10
114,MANYAVAR,EQ,1
115,MAXESTATES,EQ,89
116,MITTAL,EQ,10342
117,MMTC,EQ,491
118,MODISONLTD,EQ,1
119,MOGSEC,EQ,4
120,MOTOGENFIN,EQ,2
121,MTNL,EQ,23
122,NAVA,EQ,20
123,NCLIND,EQ,800
124,NDRAUTO,EQ,3
125,NDTV,EQ,100
126,NEXTMEDIA,EQ,2
127,NIF10GETF,EQ,3
128,NTPC,EQ,434
129,OIL,EQ,1
130,OLAELEC,EQ,12730
131,ONGC,EQ,1
132,OSWALGREEN,EQ,100
133,PARADEEP,EQ,1500
134,PATANJALI,EQ,15
135,PCBL,EQ,6948
136,PCJEWELLER,EQ,6000
137,PDMJEPAPER,EQ,700
138,PNCINFRA,EQ,1
139,POLICYBZR,EQ,158
140,POWERGRID,EQ,225
141,PVP,EQ,100
142,PVTBANKADD,EQ,392
143,QUICKHEAL,EQ,1
144,RANASUG,EQ,20
145,RECLTD,EQ,103
146,RELIANCE,EQ,6
147,RELINFRA,EQ,25
148,ROCKINGDCE,SM,250
149,RTNINDIA,EQ,130
150,RTNPOWER,EQ,200
151,RUPA,EQ,1
152,SADBHAV,EQ,1
153,SADBHIN,EQ,1880
154,SALASAR,EQ,2505
155,SALZERELEC,EQ,54
156,SARDAEN,EQ,10
157,SBCL,EQ,8
158,SBGLP,EQ,1
159,SBICARD,EQ,8
160,SBILIFE,EQ,13
161,SBIN,EQ,4
162,SCI,EQ,750
163,SDBL,EQ,10
164,SEL,SM,800
165,SEPC,EQ,1500
166,SGL,EQ,1400
167,SHRIRAMFIN,EQ,8
168,SHYAMCENT,EQ,1
169,SIEMENS,EQ,35
170,SINDHUTRAD,EQ,15360
171,SJVN,EQ,3
172,SMLT,EQ,150
173,SMSLIFE,EQ,6
174,SRF,EQ,169
175,STARHEALTH,EQ,100
176,STYRENIX,EQ,50
177,SULA,EQ,30
178,SUNPHARMA,EQ,114
179,SUNTV,EQ,10
180,SUPRIYA,EQ,10
181,SUZLON,EQ,1174
182,SWASTIK,SM,1200
183,SWELECTES,EQ,100
184,SYMPHONY,EQ,1
185,SYNCOMF,EQ,150
186,TATASTEEL,EQ,550
187,TATVA,EQ,75
188,TCIEXP,EQ,1
189,TEXINFRA,EQ,500
190,TEXRAIL,EQ,5000
191,TFCILTD,EQ,1
192,TGBHOTELS,EQ,121
193,TIDEWATER,EQ,50
194,TITAN,EQ,403
195,TNPL,EQ,3
196,TRIVENI,EQ,4
197,UCOBANK,EQ,200
198,UPL,EQ,275
199,VAKRANGEE,EQ,450
200,VEDL,EQ,10673
201,VETO,EQ,25
202,VLSFINANCE,EQ,100
203,VPRPL,EQ,460
204,WESTLIFE,EQ,3
205,WIPL,EQ,2226
206,WIPRO,EQ,1
207,YESBANK,EQ,500
208,YUKEN,EQ,125
