Sr. No,Symbol,Series,Security Name,From,To
1,AIRAN,BE,AIRAN LIMITED,10,5
2,ARTNIRMAN,BE,ART NIRMAN LIMITED,10,5
3,IITL,BE,INDUSTRIAL INVESTMENT TRUST LIMITED,10,5
4,IZMO,BE,IZMO LIMITED,10,5
5,LGHL,BE,LAXMI GOLDORNA HOUSE LIMITED,10,5
6,LRRPL,SM,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,10,5
7,MINDTECK,BE,MINDTECK (INDIA) LIMITED,10,5
8,SADBHIN,EQ,SADBHAV INFRASTRUCTURE PROJECT LIMITED,10,5
9,SELMC,BE,SEL MANUFACTURING COMPANY LIMITED,10,5
10,SHIVAMAUTO,BE,SHIVAM AUTOTECH LIMITED,10,5
11,SMSLIFE,BE,SMS LIFESCIENCES INDIA LIMITED,10,5
12,URAVI,BE,URAVI T AND WEDGE LAMPS LIMITED,10,5
13,AYMSYNTEX,BE,AYM SYNTEX LIMITED,20,5
14,BAIDFIN,BE,BAID FINSERV LIMITED,20,5
15,BALAJITELE,BE,BALAJI TELEFILMS LIMITED,20,5
16,CAREERP,BE,CAREER POINT LIMITED,20,5
17,COFFEEDAY,BE,COFFEE DAY ENTERPRISES LIMITED,20,5
18,DCM,BE,DCM  LIMITED,20,5
19,DICIND,BE,DIC INDIA LIMITED,20,5
20,DONEAR,BE,DONEAR INDUSTRIES LIMITED,20,5
21,HINDMOTORS,BE,HINDUSTAN MOTORS LIMITED,20,5
22,KOTHARIPRO,BE,KOTHARI PRODUCTS LIMITED,20,5
23,MANOMAY,BE,MANOMAY TEX INDIA LIMITED,20,5
24,NAHARPOLY,BE,NAHAR POLY FILMS LIMITED,20,5
25,NEXTMEDIA,BE,NEXT MEDIAWORKS LIMITED,20,5
26,NOVAAGRI,BE,NOVA AGRITECH LIMITED,20,5
27,PVP,BE,PVP VENTURES LIMITED,20,5
28,RATNAVEER,BE,RATNAVEER PRECISION ENGINEERING LIMITED,20,5
29,RPPINFRA,BE,R.P.P. INFRA PROJECTS LIMITED,20,5
30,SARLAPOLY,BE,SARLA PERFORMANCE FIBERS LIMITED,20,5
31,SRM,BE,SRM CONTRACTORS LIMITED,20,5
32,STEL,BE,STEL HOLDINGS LIMITED,20,5
33,WIPL,EQ,THE WESTERN INDIA PLYWOODS LIMITED,20,10
34,CHETANA,SM,CHETANA EDUCATION LIMITED,5,20
35,EMKAY,BE,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,5,2
36,MIEL,SM,MANGLAM INFRA & ENGINEERING LIMITED,5,20
37,THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,5,2
