Symbol,Security,From Series,To Series,Change Date,Remarks
AIRAN,AIRAN LIMITED,EQ,BE,14-AUG-2024,"-"
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,EQ,BE,14-AUG-2024,"-"
ARTNIRMAN,ART NIRMAN LIMITED,EQ,BE,14-AUG-2024,"-"
ASHIMASYN,ASHIMA LIMITED,EQ,BE,14-AUG-2024,"-"
AYMSYNTEX,AYM SYNTEX LIMITED,EQ,BE,14-AUG-2024,"-"
BAIDFIN,BAID FINSERV LIMITED,EQ,BE,14-AUG-2024,"-"
BALAJITELE,BALAJI TELEFILMS LIMITED,EQ,BE,14-AUG-2024,"-"
CAREERP,CAREER POINT LIMITED,EQ,BE,14-AUG-2024,"-"
CHETANA,CHETANA EDUCATION LIMITED,ST,SM,14-AUG-2024,"-"
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED,EQ,BE,14-AUG-2024,"-"
DCM,DCM  LIMITED,EQ,BE,14-AUG-2024,"-"
DICIND,DIC INDIA LIMITED,EQ,BE,14-AUG-2024,"-"
DONEAR,DONEAR INDUSTRIES LIMITED,EQ,BE,14-AUG-2024,"-"
HINDMOTORS,HINDUSTAN MOTORS LIMITED,EQ,BE,14-AUG-2024,"-"
IITL,INDUSTRIAL INVESTMENT TRUST LIMITED,EQ,BE,14-AUG-2024,"-"
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED,EQ,BE,14-AUG-2024,"-"
IZMO,IZMO LIMITED,EQ,BE,14-AUG-2024,"-"
KOTHARIPRO,KOTHARI PRODUCTS LIMITED,EQ,BE,14-AUG-2024,"-"
LGHL,LAXMI GOLDORNA HOUSE LIMITED,EQ,BE,14-AUG-2024,"-"
LIBERTSHOE,LIBERTY SHOES LIMITED,EQ,BE,14-AUG-2024,"-"
MANOMAY,MANOMAY TEX INDIA LIMITED,EQ,BE,14-AUG-2024,"-"
MIEL,MANGLAM INFRA & ENGINEERING LIMITED,ST,SM,14-AUG-2024,"-"
MINDTECK,MINDTECK (INDIA) LIMITED,EQ,BE,14-AUG-2024,"-"
NAHARPOLY,NAHAR POLY FILMS LIMITED,EQ,BE,14-AUG-2024,"-"
NEXTMEDIA,NEXT MEDIAWORKS LIMITED,EQ,BE,14-AUG-2024,"GSM STAGE - 0"
NOVAAGRI,NOVA AGRITECH LIMITED,EQ,BE,14-AUG-2024,"-"
PVP,PVP VENTURES LIMITED,EQ,BE,14-AUG-2024,"-"
RATNAVEER,RATNAVEER PRECISION ENGINEERING LIMITED,EQ,BE,14-AUG-2024,"-"
RPPINFRA,R.P.P. INFRA PROJECTS LIMITED,EQ,BE,14-AUG-2024,"-"
SARLAPOLY,SARLA PERFORMANCE FIBERS LIMITED,EQ,BE,14-AUG-2024,"-"
SELMC,SEL MANUFACTURING COMPANY LIMITED,EQ,BE,14-AUG-2024,"-"
SHIVAMAUTO,SHIVAM AUTOTECH LIMITED,EQ,BE,14-AUG-2024,"-"
SMSLIFE,SMS LIFESCIENCES INDIA LIMITED,EQ,BE,14-AUG-2024,"-"
SRM,SRM CONTRACTORS LIMITED,EQ,BE,14-AUG-2024,"-"
STEL,STEL HOLDINGS LIMITED,EQ,BE,14-AUG-2024,"-"
TPLPLASTEH,TPL PLASTECH LIMITED,EQ,BE,14-AUG-2024,"-"
URAVI,URAVI T AND WEDGE LAMPS LIMITED,EQ,BE,14-AUG-2024,"-"
