Symbol,Security,From Series,To Series,Change Date,Remarks
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LIMITED,EQ,BE,05-SEP-2024,"-"
AJOONI,AJOONI BIOTECH LIMITED,EQ,BE,05-SEP-2024,"-"
AKSHAR,AKSHAR SPINTEX LIMITED,EQ,BE,05-SEP-2024,"-"
ALBERTDAVD,ALBERT DAVID LIMITED,EQ,BE,05-SEP-2024,"-"
AVROIND,AVRO INDIA LIMITED,EQ,BE,05-SEP-2024,"-"
CINEVISTA,CINEVISTA LIMITED,EQ,BE,05-SEP-2024,"-"
DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ,BE,05-SEP-2024,"-"
DESTINY,DESTINY LOGISTICS & INFRA LIMITED,SM,ST,05-SEP-2024,"-"
DUCON,DUCON INFRATECHNOLOGIES LIMITED,EQ,BE,05-SEP-2024,"-"
EMAMIREAL,EMAMI REALTY LIMITED,EQ,BE,05-SEP-2024,"GSM STAGE - 0"
GEEKAYWIRE,GEEKAY WIRES LIMITED,EQ,BE,05-SEP-2024,"-"
IEL,INDIABULLS ENTERPRISES LIMITED,EQ,BE,05-SEP-2024,"-"
JALAN,JALAN TRANSOLUTIONS (INDIA) LIMITED,SM,ST,05-SEP-2024,"-"
JHS,JHS SVENDGAARD LABORATORIES LIMITED,EQ,BE,05-SEP-2024,"-"
MRO-TEK,MRO-TEK REALTY LIMITED,EQ,BE,05-SEP-2024,"-"
OSWALSEEDS,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,EQ,BE,05-SEP-2024,"-"
PLASTIBLEN,PLASTIBLENDS INDIA LIMITED,EQ,BE,05-SEP-2024,"-"
RVHL,RAVINDER HEIGHTS LIMITED,EQ,BE,05-SEP-2024,"-"
SOUTHWEST,SOUTH WEST PINNACLE EXPLORATION LIMITED,EQ,BE,05-SEP-2024,"-"
SVLL,SHREE VASU LOGISTICS LIMITED,EQ,BE,05-SEP-2024,"-"
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LIMITED,EQ,BE,05-SEP-2024,"-"
TRANSWIND,TRANSWIND INFRASTRUCTURES LIMITED,SM,ST,05-SEP-2024,"-"
YAARI,YAARI DIGITAL INTEGRATED SERVICES LIMITED,EQ,BE,05-SEP-2024,"GSM STAGE - 0"
