Sr. No,Symbol,Series,Security Name,From,To
1,AVROIND,BE,AVRO INDIA LIMITED,10,5
2,OSWALSEEDS,BE,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,10,5
3,SAIFL,SM,SAMEERA AGRO AND INFRA LIMITED,10,5
4,SVLL,BE,SHREE VASU LOGISTICS LIMITED,10,5
5,ALBERTDAVD,BE,ALBERT DAVID LIMITED,20,5
6,DEEPENR,BE,DEEP ENERGY RESOURCES LIMITED,20,5
7,EMAMIREAL,BE,EMAMI REALTY LIMITED,20,5
8,EMMIL,SM,ENERGY MISSION MACHINERIES (INDIA) LIMITED,20,10
9,GEEKAYWIRE,BE,GEEKAY WIRES LIMITED,20,5
10,GEOJITFSL,EQ,GEOJIT FINANCIAL SERVICES LIMITED,20,10
11,JALAN,ST,JALAN TRANSOLUTIONS (INDIA) LIMITED,20,5
12,PLASTIBLEN,BE,PLASTIBLENDS INDIA LIMITED,20,5
13,RVHL,BE,RAVINDER HEIGHTS LIMITED,20,5
14,SOUTHWEST,BE,SOUTH WEST PINNACLE EXPLORATION LIMITED,20,5
15,TOKYOPLAST,BE,TOKYO PLAST INTERNATIONAL LIMITED,20,5
16,FOCUS,BE,FOCUS LIGHTING AND FIXTURES LIMITED,5,2
17,SECURCRED,BE,SECUR CREDENTIALS LIMITED,5,2
